Name,Type,Boiling point,
"Acetic Acid (CH3COOH)","Organic","117.9",
"Acetyl Chloride (CH3COCl)","Organic","51",
"Acetylsalicylic Acid (C9H8O4)","Organic","Decomposes at 140",
"Aluminum Chloride (AlCl3)","Inorganic","Sublimes at 180",
"Antimony Pentafluoride (SbF5)","Inorganic","141",
"Benzoic Acid (C7H6O2)","Organic","249",
"Boric Acid (H3BO3)","Inorganic","300",
"Boron Trifluoride (BF3)","Inorganic","-100",
"Butyric Acid (C4H8O2)","Organic","163.5",
"Caproic Acid (C6H12O2)","Organic","205",
"Carbonic Acid (H2CO3)","Inorganic","333.6",
"Chromic Acid (H2CrO4)","Inorganic","Decomposes at 250",
"Citric Acid (C6H8O7)","Organic","Decomposes at 175",
"Formic Acid (HCOOH)","Organic","101",
"Glycolic Acid (C2H4O3)","Organic","100",
"Hydrobromic Acid (HBr)","Inorganic","-66.7",
"Hydrochloric Acid (HCl)","Inorganic","-85",
"Hydrofluoric Acid (HF)","Inorganic","19.5",
"Hydrogen Cyanide (HCN)","Inorganic","25.6",
"Hydrogen Peroxide (H2O2)","Inorganic","150.2",
"Hydrogen Selenide (H2Se)","Inorganic","-41.3",
"Hydrogen Sulfide (H2S)","Inorganic","-60",
"Hydrogen Telluride (H2Te)","Inorganic","-2",
"Hydroiodic Acid (HI)","Inorganic","-35.5",
"Hypofluorous Acid (HFO)","Inorganic","Decomposes at 0",
"Iron(iii) Chloride (FeCl3)","Inorganic","316",
"Lactic Acid (C3H6O3)","Organic","122 at 15 mmHg",
"Linoleic Acid (C18H32O2)","Organic","229 at 16 mmHg",
"Malonic Acid (C3H4O4)","Organic","Decomposes at 135",
"Nitric Acid (HNO3)","Inorganic","83",
"Oleic Acid (C18H34O2)","Organic","360",
"Oxalic Acid (C2H2O4)","Organic","Sublimes at 157",
"Palmitic Acid (C16H32O2)","Organic","351",
"Peracetic Acid (C2H4O3)","Organic","110",
"Perchloric Acid (HClO4)","Inorganic","Decomposes at 90",
"Phosphoric Acid (H3PO4)","Inorganic","212",
"Propionic Acid (C3H6O2)","Organic","141",
"Stearic Acid (C18H36O2)","Organic","371",
"Succinic Acid (C4H6O4)","Organic","235",
"Sulfuric Acid (H2SO4)","Inorganic","337",
"Trichloroacetic Acid (C2HCl3O2)","Organic","198",
"Triflic Acid (CF3SO3H)","Organic","162",
"Valeric Acid (C5H10O2)","Organic","186",
