Name,Boiling point,
Methanol (CH4O),64.5,
Ethanol (C2H6O),78.2,
Propanol (C3H8O),97.3,
Butanol (C4H10O),117.7,
Pentanol (C5H12O),137.5,
Hexanol (C6H14O),157,
Heptanol (C7H16O),176,
Octanol (C8H18O),195,
Nonanol (C9H20O),214,
Decanol (C10H22O),230,
Undecanol (C11H24O),245,
Dodecanol (C12H26O),260,
Tridecanol (C13H28O),280,
Tetradecanol (C14H30O),295.8,
Pentadecanol (C15H32O),298,
Hexadecanol (C16H34O),330,
Heptadecanol (C17H36O),324,
Octadecanol (C18H38O),336,
Nonadecanol (C19H40O),345,
Eicosanol (C20H42O),356,
Docosanol (C22H46O),180 (at 0.22 mmHg),
Tetracosanol (C24H50O),210 (at 0.4 mmHg),
