Name,Boiling point,
"Methane (CH4)","-161.6",
"Ethane (C2H6)","-88.6",
"Propane (C3H8)","-42.1",
"Butane (C4H10)","-0.5",
"Pentane (C5H12)","36.1",
"Hexane (C6H14)","68.7",
"Heptane (C7H16)","98.4",
"Octane (C8H18)","125.6",
"Nonane (C9H20)","150.6",
"Decane (C10H22)","174.2",
"Undecane (C11H24)","196",
"Dodecane (C12H26)","216",
"Tridecane (C13H28)","235",
"Tetradecane (C14H30)","253.5",
"Pentadecane (C15H32)","270",
"Hexadecane (C16H34)","286.9",
"Heptadecane (C17H36)","303",
"Octadecane (C18H38)","316",
"Nonadecane (C19H40)","330",
"Eicosane (C20H42)","344",
"Heneicosane (C21H44)","359",
"Docosane (C22H46)","369",
"Tricosane (C23H48)","381",
"Tetracosane (C24H50)","391",
"Pentacosane (C25H52)","401.9",
"Hexacosane (C26H54)","415",
"Heptacosane (C27H56)","442",
"Octacosane (C28H58)","432",
"Nonacosane (C29H60)","443",
"Triacontane (C30H62)","451",
"Hentriacontane (C31H64)","438",
"Dotriacontane (C32H66)","470",
"Tritriacontane (C33H68)","475",
"Tetratriacontane (C34H70)","482",
"Pentatriacontane (C35H72)","490",
"Hexatriacontane (C36H74)","298.4 (at 3 mmHg)",
"Heptatriacontane (C37H76)","502.6",
"Octatriacontane (C38H78)","511",
"Nonatriacontane (C39H80)","519.5",
"Tetracontane (C40H82)","527.8",
"Hentetracontane (C41H84)","535.9",
"Dotetracontane (C42H86)","543.8",
"Tritetracontane (C43H88)","551.6",
"Tetratetracontane (C44H90)","559",
"Pentatetracontane (C45H92)","567",
"Hexatetracontane (C46H94)","574.4",
"Heptatetracontane (C47H96)","568.7",
"Octatetracontane (C48H98)","572.5",
"Nonatetracontane (C49H100)","576",
"Pentacontane (C50H102)","580",
"Henpentacontane (C51H104)","583.6",
"Dopentacontane (C52H106)","587",
"Tripentacontane (C53H108)","590.7",
"Tetrapentacontane (C54H110)","594",
"Pentapentacontane (C55H112)","597.7",
"Hexapentacontane (C56H114)","601",
"Heptapentacontane (C57H116)","604.5",
"Octapentacontane (C58H118)","608",
"Nonapentacontane (C59H120)","611",
"Hexacontane (C60H122)","614",
"Henhexacontane (C61H124)","618",
"Dohexacontane (C62H126)","621",
"Trihexacontane (C63H128)","624",
"Tetrahexacontane (C64H130)","627",
"Pentahexacontane (C65H132)","630",
"Hexahexacontane (C66H134)","633",
"Heptahexacontane (C67H136)","636",
"Octahexacontane (C68H138)","639",
"Nonahexacontane (C69H140)","642",
"Heptacontane (C70H142)","645",
