Name,Boiling point,
Ethene (C2H4),-103.8,
Propene (C3H6),-47.6,
Butene (C4H8),-6.5,
Pentene (C5H10),30,
Hexene (C6H12),63,
Heptene (C7H14),94,
Octene (C8H16),121,
Nonene (C9H18),146.9,
Decene (C10H20),172,
Undecene (C11H22),192.7,
Dodecene (C12H24),213.8,
Tridecene (C13H26),233,
Tetradecene (C14H28),252,
Pentadecene (C15H30),268,
Hexadecene (C16H32),285,
Heptadecene (C17H34),291,
Octadecene (C18H36),315,
Nonadecene (C19H38),319.7,
Eicosene (C20H40),341,
Heneicosene (C21H42),346,
Docosene (C22H44),359,
Tricosene (C23H46),371,
Tetracosene (C24H48),383,
Pentacosene (C25H50),395,
Hexacosene (C26H52),406,
Heptacosene (C27H54),417,
Octacosene (C28H56),427,
Nonacosene (C29H58),438,
Triacontene (C30H60),448,
Hentriacontene (C31H62),458,
Dotriacontene (C32H64),467,
Tritriacontene (C33H66),477,
Tetratriacontene (C34H68),486,
Pentatriacontene (C35H70),495,
Hexatriacontene (C36H72),504,
Heptatriacontene (C37H74),513,
Octatriacontene (C38H76),521,
Nonatriacontene (C39H78),530,
Tetracontene (C40H80),538,
Hentetracontene (C41H82),546,
Dotetracontene (C42H84),554,
Tritetracontene (C43H86),562,
Tetratetracontene (C44H88),570,
Pentatetracontene (C45H90),577,
Hexatetracontene (C46H92),585,
Heptatetracontene (C47H94),591,
Octatetracontene (C48H96),595,
Nonatetracontene (C49H98),599,
Pentacontene (C50H100),603,
