Name,Boiling point,
Acetylene (C2H2),-84.7,
Propyne (C3H4),-23,
1-Butyne (C4H6),8,
1-Pentyne (C5H8),40,
1-Hexyne (C6H10),71,
1-Heptyne (C7H12),99.8,
1-Octyne (C8H14),126.2,
1-Nonyne (C9H16),151,
1-Decyne (C10H18),174,
1-Undecyne (C11H20),195,
1-Dodecyne (C12H22),215,
1-Tridecyne (C13H24),233,
1-Tetradecyne (C14H26),251,
1-Pentadecyne (C15H28),268,
1-Hexadecyne (C16H30),284,
1-Heptadecyne (C17H32),299,
1-Octadecyne (C18H34),314,
1-Nonadecyne (C19H36),328,
1-Eicosyne (C20H38),341,
1-Heneicosyne (C21H40),354,
1-Docosyne (C22H42),367,
1-Tricosyne (C23H44),379,
1-Tetracosyne (C24H46),391,
1-Pentacosyne (C25H48),403,
1-Hexacosyne (C26H50),414,
1-Heptacosyne (C27H52),425,
1-Octacosyne (C28H54),436,
1-Nonacosyne (C29H56),446,
1-Triacontyne (C30H58),456,
1-Hentriacontyne (C31H60),466,
1-Dotriacontyne (C32H62),476,
1-Tritriacontyne (C33H64),485,
1-Tetratriacontyne (C34H66),495,
1-Pentatriacontyne (C35H68),504,
1-Hexatriacontyne (C36H70),513,
1-Heptatriacontyne (C37H72),522,
1-Octatriacontyne (C38H74),530,
1-Nonatriacontyne (C39H76),539,
1-Tetracontyne (C40H78),547,
