Name,Type,Boiling point,
"Aluminum Bromide (AlBr3)","Inorganic","255",
"Ammonia (NH3)","Inorganic","-33.3",
"Ammonium Hydroxide (NH4OH)","Inorganic","38 (25%)",
"Aniline (C6H5NH2)","Organic","184",
"Barium Hydroxide (BaH2O2)","Inorganic","780",
"Barium Oxide (BaO)","Inorganic","2000",
"Butylamine (C4H11N)","Organic","77",
"Calcium Hydroxide (CaH2O2)","Inorganic","Decomposes at 580",
"Copper Hydroxide (CuH2O2)","Inorganic","Decomposes at 80",
"Diethylamine (C4H11N)","Organic","55.5",
"Dimethyl Sulfoxide (C2H6OS)","Organic","189",
"Ethylamine (C2H5NH2)","Organic","16.6",
"Lithium Hydroxide (LiOH)","Inorganic","Decomposes at 924",
"Lithium Oxide (Li2O)","Inorganic","2600",
"Magnesium Hydroxide (H2MgO2)","Inorganic","Decomposes at 350",
"Methylamine (CH3NH2)","Organic","-6.4",
"Piperidine (C5H11N)","Organic","106",
"Potassium Hydroxide (KOH)","Inorganic","1327",
"Propylamine (C3H9N)","Organic","47.2",
"Pyridine (C5H5N)","Organic","115",
"Rubidium Hydroxide (RbOH)","Inorganic","1390",
"Sodium Amide (NaNH2)","Inorganic","400",
"Sodium Hydroxide (NaOH)","Inorganic","1388",
"Strontium Hydroxide (H2O2Sr)","Inorganic","Decomposes at 710",
"Strontium Oxide (SrO)","Inorganic","Decomposes at 3200",
"Tetrahydrofuran (C4H8O)","Organic","66",
"Trimethylamine (C3H9N)","Organic","3",
"Trimethylphosphine (C3H9P)","Organic","43",
