Name,Boiling point,
8.2,
Methanol,64.5,
Acetone,56,
Chloroform,61.2,
Benzene,80.2,
Toluene,110.6,
Diethyl ether,34.6,
Carbon tetrachloride,76.7,
Nitrogen,-195.8,
Oxygen,-183,
Hydrogen,-252.9,
Helium,-268.9,
Neon,-246,
Argon,-185.9,
Kerosene,150 - 300,
Diesel,150 - 370,
Gasoline,40 - 205,
Ammonia,-33.4,
Sulfuric acid,290,
Hydrochloric acid,-85,
Sodium chloride (table salt),1465,
Sodium hydroxide,1388,
Glycerol,290,
Mercury,356.6,
Propane,-42.1,
Butane,-0.5,
Acetic acid,117.9,
Formaldehyde,-19,
Methane,-161.6,
