Name,Boiling point,
Methyl acetate (C3H6O2),57,
Ethyl acetate (C4H8O2),77,
Butyl acetate (C6H12O2),126,
Isopropyl acetate (C5H10O2),89,
Propyl acetate (C5H10O2),102,
Ethyl butyrate (C6H12O2),121,
Methyl propionate (C4H8O2),80,
Ethyl propionate (C5H10O2),99,
Isobutyl acetate (C6H12O2),116.5,
Butyl butyrate (C8H16O2),166,
Ethyl formate (C3H6O2),54,
Butyl formate (C5H10O2),106,
Methyl butyrate (C5H10O2),102,
Propyl butyrate (C7H14O2),143,
Methyl isobutyrate (C5H10O2),92,
Ethyl isobutyrate (C6H12O2),110,
Butyl isobutyrate (C8H16O2),163,
Isopropyl butyrate (C7H14O2),130,
Isobutyl butyrate (C8H16O2),157,
Methyl valerate (C6H12O2),120,
Ethyl valerate (C7H14O2),144,
Butyl valerate (C9H18O2),187,
Isopropyl valerate (C8H16O2),163,
Isobutyl valerate (C9H18O2),183,
Methyl hexanoate (C7H14O2),150,
Ethyl hexanoate (C8H16O2),168,
Butyl hexanoate (C10H20O2),208,
Isopropyl hexanoate (C9H18O2),168,
Isobutyl hexanoate (C10H20O2),200,
Methyl octanoate (C9H18O2),195,
Ethyl octanoate (C10H20O2),207,
Butyl octanoate (C12H24O2),245,
Isopropyl octanoate (C11H22O2),220,
Methyl decanoate (C11H22O2),221,
Ethyl decanoate (C12H24O2),245,
Isopropyl decanoate (C13H26O2),254,
Methyl dodecanoate (C13H26O2),262,
Ethyl dodecanoate (C14H28O2),269,
Butyl dodecanoate (C16H32O2),300,
Isopropyl dodecanoate (C15H30O2),285,
Methyl benzoate (C8H8O2),199.5,
Ethyl benzoate (C9H10O2),213,
Butyl benzoate (C11H14O2),250,
Isopropyl benzoate (C10H12O2),216,
Isobutyl benzoate (C11H14O2),242,
Phenethyl acetate (C10H12O2),233,
