Name,Boiling point,
"Dimethyl Ether (C2H6O)","-24",
"Diethyl Ether (C4H10O)","35",
"Methoxypropane (C4H10O)","38.6",
"Ethyl Propyl Ether (C5H12O)","63.7",
"Methyl tert-butyl ether (C5H12O)","55",
"Tetrahydrofuran (C4H8O)","65",
"Dioxane (C4H8O2)","101",
"Anisole (C7H8O)","155",
"Dipropyl ether (C6H14O)","90",
"Dibutyl ether (C8H18O)","141",
"Dipentyl ether (C10H22O)","187",
"Dioctyl ether (C16H34O)","286.6",
"Dicyclohexyl ether (C12H22O)","242",
"Methoxyethane (C3H8O)","7.4",
"1,2-Dimethoxyethane (C4H10O2)","85",
"Vinyl ether (C4H6O)","28",
"Phenetole (C8H10O)","170",
"Diphenyl ether (C12H10O)","258",
"Tetrahydropyran (C5H10O)","88",
"1,3-Dithiane (C4H8S2)","184",
