Gas,Boiling point,
"Acetylene","-84.7",
"Air","-194.35",
"Ammonia","-33.4",
"Argon","-185.9",
"Arsine","-62.5",
"Butadiene","-4.4",
"Butane","-0.5",
"1-Butene","-6.3",
"Carbon dioxide","-78.5",
"Carbon monoxide","-191.5",
"Chlorine","-34",
"Chloroethane","12.3",
"Chloromethane","-23.8",
"Cyclopropane","-32.8",
"Deuterium","-249.6",
"Dimethylamine","7.3",
"Dimethyl ether","-24.9",
"Ethane","-88.7",
"Ethylene","-103.8",
"Fluorine","-188.1",
"Helium","-269",
"Hydrogen","-252.9",
"Hydrogen bromide","-66.7",
"Hydrogen chloride","-85",
"Hydrogen cyanide","25.7",
"Hydrogen fluoride","19.5",
"Hydrogen iodide","-35.6",
"Hydrogen sulfide","-60.3",
"Isobutane","-11.7",
"Isobutylene","-7.2",
"Krypton","-153.4",
"Methane","-161.6",
"Neon","-246.1",
"Nitric oxide","-151.8",
"Nitrogen","-195.85",
"Oxygen","-183",
"Ozone","-111.9",
"Propadiene","-34.5",
"Propane","-42.1",
"Propylene","SIval",
"Radon","-61.75",
"Silane","-111.4",
"Sulfur Dioxide","-10",
"Sulfur hexafluoride","-63.9",
"Sulfur trioxide","45",
"Xenon","-108.1",
