Name,Boiling point,
"Hydrogen Fluoride (HF)","19.5",
"Hydrogen Chloride (HCl)","-85.1",
"Hydrogen Bromide (HBr)","-67",
"Hydrogen Iodide (HI)","-35.5",
"Sodium Fluoride (NaF)","1700",
"Sodium Chloride (NaCl)","1465",
"Sodium Bromide (NaBr)","1390",
"Sodium Iodide (NaI)","1304",
"Potassium Fluoride (KF)","1502",
"Potassium Chloride (KCl)","1420",
"Potassium Bromide (KBr)","1435",
"Potassium Iodide (KI)","1330",
"Calcium Fluoride (CaF2)","2533",
"Calcium Chloride (CaCl2)","1935",
"Calcium Bromide (CaBr2)","1815",
"Calcium Iodide (CaI2)","1100",
"Magnesium Fluoride (MgF2)","2300",
"Magnesium Chloride (MgCl2)","1412",
"Magnesium Bromide (MgBr2)","1250",
"Magnesium Iodide (MgI2)","908",
"Aluminum Fluoride (AlF3)","1290 (sublimes)",
"Aluminum Chloride (AlCl3)","180 (sublimes)",
"Aluminum Bromide (AlBr3)","255",
"Aluminum Iodide (AlI3)","382 (sublimes)",
"Zinc Chloride (ZnCl2)","732",
"Zinc Bromide (ZnBr2)","697",
"Zinc Iodide (ZnI2)","625",
"Silver Fluoride (AgF)","1159",
"Silver Chloride (AgCl)","1547",
"Silver Bromide (AgBr)","1502",
"Silver Iodide (AgI)","1506",
"Copper(I) Chloride (CuCl)","1490",
"Copper(I) Bromide (CuBr)","1345",
"Copper(I) Iodide (CuI)","1336",
"Copper(II) Fluoride (CuF2)","1676",
"Copper(II) Bromide (CuBr2)","900",
"Iron(II) Fluoride (FeF2)","1100",
"Iron(II) Chloride (FeCl2)","1023",
"Iron(II) Iodide (FeI2)","935",
"Iron(III) Chloride (FeCl3)","319",
