Liquid,Boiling point,
"Acetaldehyde","20.5",
"Acetic acid","117.95",
"Acetic anhydride","138.9",
"Acetone","56.3",
"Acetonitrile","81.7",
"Acetophenone","202",
"Acetyl chloride","50.8",
"Acrylic acid","140.9",
"Acrylonitrile","77.4",
"Allyl alcohol","96.9",
"Allyl chloride","45.2",
"Amyl acetate","149.25",
"Aniline","184.4",
"Anisole","153.7",
"Benzaldehyde","178.9",
"Benzene","80.2",
"Benzyl acetate","213",
"Benzyl alcohol","205.5",
"Benzyl benzoate","324",
"Benzyl chloride","179",
"Bromine","58.8",
"Bromobenzene","156.2",
"Bromoethane","38.4",
"Butanoic acid","163.75",
"1-Butanol","117.8",
"2-Butanol","99.6",
"Butanone","79.7",
"2-Butoxyethanol","170.2",
"Butyl acetate","126",
"tert-Butyl acetate","96",
"tert-Butyl alcohol","82.5",
"tert-Butyl chloride","50.9",
"Butyraldehyde","74.9",
"Butyric acid","163.3",
"Butyronitrile","117.9",
"Caproic acid","205",
"Carbon disulfide","46.3",
"Carbon tetrachloride","76.6",
"Chlorobenzene","131.8",
"1-Chlorobutane","78.5",
"Chloroethane","12.3",
"2-Chloroethanol","128",
"Chloroform","61.2",
"Chloropropane","46.5",
"m-Cresol","202",
"o-Cresol","191",
"Cumene","152.5",
"Cyclohexane","80.8",
"Cyclohexanol","161.1",
"Cyclohexanone","155.7",
"Cyclohexene","83",
"Cyclopentane","49.3",
"Cyclopentanol","139",
"p-Cymene","177",
"Decane","174.2",
"Deuterium oxide","101.5",
"Diacetyl","88",
"Dibromomethane","96.9",
"Dibutyl ether","142.5",
"Dibutyl phthalate","340",
"1,2-Dichlorobenzene","172.9",
"1,3-Dichlorobenzene","180.5",
"1,2-Dichloroethane","83.5",
"Dichloromethane","39.9",
"Diethanolamine","268.8",
"Diethylamine","55.5",
"Diethyl ether","34.6",
"Diethyl malonate","200",
"Diethyl phthalate","295",
"Diethyl sulfate","208",
"Diethylene glycol","245",
"Diethylenetriamine","207",
"Diisopropylamine","84",
"Diisopropyl ether","68.4",
"Dimethylamine","7",
"1,2-Dimethoxyethane","82",
"2,2-Dimethylbutane","49.8",
"2,3-Dimethylbutane","58.1",
"Dimethyl carbonate","90",
"2,2-Dimethylpentane","79.3",
"Dimethyl phthalate","284",
"Dimethyl sulfate","188",
"Dimethyl sulfide","37",
"Dimethyl sulfoxide","189",
"Dimethylformamide","153",
"1,4-Dioxane","101",
"Diphenyl ether","258",
"Dipropyl ether","90",
"Dodecane","216",
"Dodecanol","260",
"Epichlorohydrin","116.5",
"Ethanethiol","35",
"Ethanol","78.4",
"2-Ethoxyethanol","135.5",
"Ethyl acetate","77.2",
"Ethylamine","16.6",
"Ethyl acrylate","99.8",
"Ethyl benzoate","212.8",
"Ethylbenzene","136",
"Ethyl formate","54.3",
"Ethylene glycol","197.3",
"Ethylene oxide","10.4",
"Ethylenediamine","116",
"Fluorobenzene","85.4",
"Formamide","210",
"Formic acid","100.7",
"Furan","31.4",
"Furfural","161.8",
"Glutaraldehyde","187",
"Glycerol","289.9",
"Heptadecane","302",
"Heptane","98.5",
"1-Heptanol","175",
"2-Heptanone","151",
"Hexadecane","286.9",
"Hexane","68.8",
"1-Hexanol","157",
"1-Hexene","63.5",
"Hydrazine","113.6",
"Hydrogen cyanide","25.8",
"Hydrogen fluoride","19.6",
"Iodomethane","41.4",
"Isoamyl alcohol","131",
"Isobutanol","108",
"Isopentane","27.9",
"Isoprene","34.1",
"Isopropyl alcohol","82",
"Isopropylamine","32.5",
"Isopropyl chloride","35.8",
"Limonene","176",
"Linalool","198",
"Mesitylene","165",
"Methanesulfonic acid","167",
"Methanol","64.7",
"2-Methoxyethanol","124.6",
"Methyl acetate","57",
"Methyl acetoacetate","169",
"Methyl acrylate","80.4",
"Methyl benzoate","199",
"Methyl formate","31.8",
"Methyl isobutyl ketone","116.5",
"2-Methylpentane","60",
"Methyl salicylate","219",
"Methyl tert-butyl ether","55.2",
"Methylcyclohexane","101",
"2-Methylheptane","117.7",
"2-Methylhexane","90",
"3-Methylpentane","63.3",
"N-Methylpyrrolidone","202",
"Morpholine","128.3",
"Nitric acid","83",
"Nitrobenzene","211",
"Nitroethane","114",
"Nitromethane","101.3",
"Nonane","151",
"Octane","125.7",
"1-Octanol","195",
"2-Octanol","179",
"1-Octene","121",
"Oleic acid","360",
"Pentadecane","270.7",
"Pentane","36.1",
"1-Pentanol","137.9",
"2-Pentanone","102.4",
"3-Pentanone","102",
"Phenylethyl alcohol","219",
"Phosphoric acid","158",
"Phosphorus trichloride","75.9",
"alpha-Pinene","155",
"beta-Pinene","165",
"Piperidine","106",
"Propanal","48.8",
"1,3-Propanediol","214.5",
"Propanoic acid","140.9",
"Propyl alcohol","97",
"Propionic acid","141",
"Propyl acetate","101.7",
"Propylene carbonate","242",
"Propylene glycol","188.2",
"Propylene oxide","34",
"Propylamine","47.2",
"Pyridine","115",
"Pyrrolidine","86.6",
"2-Pyrrolidinone","245",
"Silicon tetrachloride","57.3",
"Styrene","145",
"Sulfolane","285",
"Sulfuric acid","290",
"Tetradecane","253.6",
"Tetrahydrofuran","66",
"Thiophene","84",
"Thionyl chloride","76",
"Titanium tetrachloride","136.5",
"Toluene","110.7",
"1,2,4-Trichlorobenzene","213",
"1,1,1-Trichloroethane","74",
"Trichloroethylene","87.3",
"Triethylamine","89.6",
"Triethanolamine","335.4",
"Triethyl phosphate","215",
"Triethyl phosphite","157",
"Triethylene glycol","285",
"Trimethyl orthoformate","102",
"Tripropylene glycol","273",
"Undecane","196",
"Valeric acid","186",
"Vinyl acetate","72",
"m-Xylene","139",
"o-Xylene","144",
"p-Xylene","138.4",
"Water","100",
