Name,Boiling point,
Carbon dioxide (CO2),-78 (sublimes),
Silicon dioxide (SiO2),2950,
Sulfur dioxide (SO2),-10,
Nitrogen dioxide (NO2),21,
Carbon monoxide (CO),-191.5,
Nitric oxide (NO),-152,
Hydrogen peroxide (H2O2),150.2,
Aluminum oxide (Al2O3),2980,
Lead(II) oxide (PbO),1474,
Magnesium oxide (MgO),3600,
Sodium oxide (Na2O),1275 (sublimes),
Calcium oxide (CaO),2850,
Phosphorus pentoxide (P4O10),360 (sublimes),
Chromium(III) oxide (Cr2O3),3000,
Tin(IV) oxide (SnO2),1850 (sublimes),
Barium oxide (BaO),2000,
Strontium oxide (SrO),2854,
Beryllium oxide (BeO),3787,
Titanium dioxide (TiO2),2972,
Vanadium(V) oxide (V2O5),1750 (decomposes),
Chromium(VI) oxide (CrO3),250 (decomposes),
Ruthenium(IV) oxide (RuO2),1200 (sublimes),
Cadmium oxide (CdO),1559 (sublimes),
Tellurium dioxide (TeO2),1245,
Ruthenium tetroxide (RuO4),40,
Osmium tetroxide (OsO4),130,
Perchloric acid (HClO4),112,
Nitrogen pentoxide (N2O5),33 (sublimes),
