Metal,Boiling point,
luminum (Al),2519,
Antimony (Sb),1587,
Barium (Ba),1845,
Beryllium (Be),2468,
Bismuth (Bi),1564,
Cadmium (Cd),767,
Calcium (Ca),1484,
Cerium (Ce),3443,
Cesium (Cs),671,
Chromium (Cr),2671,
Cobalt (Co),2927,
Copper (Cu),2560,
Dysprosium (Dy),2567,
Erbium (Er),2868,
Europium (Eu),1529,
Gadolinium (Gd),3273,
Gallium (Ga),2229,
Gold (Au),2836,
Hafnium (Hf),4600,
Holmium (Ho),2700,
Indium (In),2027,
Iridium (Ir),4428,
Iron (Fe),2861,
Lanthanum (La),3464,
Lead (Pb),1749,
Lithium (Li),1342,
Lutetium (Lu),3402,
Magnesium (Mg),1090,
Manganese (Mn),2061,
Mercury (Hg),356.6,
Molybdenum (Mo),4639,
Neodymium (Nd),3074,
Neptunium (Np),3902,
Nickel (Ni),2913,
Niobium (Nb),4741,
Osmium (Os),5008,
Palladium (Pd),2963,
Platinum (Pt),3825,
Plutonium (Pu),3228,
Polonium (Po),962,
Potassium (K),759,
Praseodymium (Pr),3520,
Promethium (Pm),3000,
Protactinium (Pa),4000,
Radium (Ra),1737,
Rhenium (Re),5590,
Rhodium (Rh),3695,
Rubidium (Rb),688,
Ruthenium (Ru),4147,
Samarium (Sm),1794,
Scandium (Sc),2836,
Silver (Ag),2162,
Sodium (Na),882.9,
Strontium (Sr),1377,
Tantalum (Ta),5455,
Technetium (Tc),4262,
Terbium (Tb),3230,
Thallium (Tl),1473,
Thorium (Th),4785,
Thulium (Tm),1950,
Tin (Sn),2586,
Titanium (Ti),3287,
Tungsten (W),5555,
Uranium (U),4131,
Vanadium (V),3407,
Ytterbium (Yb),1196,
Yttrium (Y),3345,
Zinc (Zn),907,
Zirconium (Zr),4406,
