Material,Bulk modulus,
48 - 176,
Aluminum,68 - 70,
Benzene,1.05,
Boron Carbide (B4),200 - 240,
Brass - cast,116,
Brass (70 - 30),108,
Carbon Tetrachloride,1.32,
Chalk,9,
Concrete,6 - 28,
Copper,123,
Diamond,540 - 640,
Elektron (magnesium alloy),33,
Ethyl Alcohol,1.06,
Gasoline,1.3,
Glass,35 - 55,
Glycerine / Glycerol,4.35,
Granite,50,
Graphite - 2H (single crystal),34,
Hexane,0.60,
Iron - cast,58 - 107,
Iron - malleable,119,
ISO 32 Mineral Oil,1.8,
Kerosene,1.3,
Limestone,65,
Magnesium alloy,33.1,
Mercury,28.5,
Methanol,0.82,
Monel metal,155,
Olive Oil,1.60,
Paraffin Oil,1.64,
Petrol,1.07 - 1.49,
Phosphate Ester,3,
Phosphor bronze,112,
SAE 30 Oil,1.5,
Sandstone,0.7,
Seawater,2.34,
Shale,10,
Silicone Rubber,1.5 - 2,
Silver,96 - 106,
Sodium chloride,24.42,
Solder (Tin-Lead),33 - 58,
Stainless steel (18 - 8),163,
Steel,156 - 165,
Steel - cast,139,
Steel - cold rolled,159,
Sulfuric Acid,3.0,
Tin,42 - 60,
Tobin bronze,112,
Toluene / Toluol,1.09,
Tungsten,307 - 314,
Turpentine,1.28,
Water,2.15,
Water - Glycol,3.4,
