Wood,Parallel to grain,Perpendicular to grain, (green),48.8,9,
Ash (white),51.1,8,
Aspen (quaking),29.3,2.6,
Balsa,8.6,0.5,
Balsam poplar,27.7,2.1,
Basswood (American),32.6,2.6,
Beech (American),50.3,7,
Birch (paper),39.2,4.1,
Birch (silver),39.2,5.1,
Birch (sweet),58.9,7.4,
Birch (yellow),56.3,6.7,
Black wattle,60.7,7.5,
Butternut,36.2,3.2,
Cedar (eastern red),41.5,6.3,
Cedar (northern white),27.3,2.1,
Cedar (southern white),32.4,2.8,
Cedar (western red),31.4,3.2,
Cherry (black),49,4.8,
Chestnut (American),36.7,4.3,
Cottonwood (black),31,2.1,
Cottonwood (eastern),33.9,2.6,
Cypress,43.9,5.4,
Douglas fir (coast),49.9,5.5,
Elm (American),38.1,4.8,
Elm (rock),48.6,8.5,
Elm (slippery),43.9,5.7,
Fir (balsam),36.4,2.8,
Fir (white),40,3.7,
Hemlock (eastern),37.3,4.5,
Hemlock (mountain),44.4,5.9,
Hemlock (western),49,3.8,
Hickory (mockernut),61.6,11.9,
Hickory (pignut),63.4,13.7,
Hickory (shagbark),63.5,12.1,
Juniper (alligator),28.4,11.7,
Larch (western),52.5,6.4,
Locust (black),70.2,12.6,
Locust (honey),51.7,12.7,
Magnolia (cucumber tree),43.5,3.9,
Magnolia (sweetbay),39.8,3.9,
Mahogany,46.9,7.6,
Maple (bigleaf),41,5.2,
Maple (black),46.1,7,
Maple (red),45.1,6.9,
Maple (silver, creek),36,5.1,
Maple (sugar),54,10.1,
Oak (black),45,6.4,
Oak (bur),41.8,8.3,
Oak (chestnut),47.1,5.8,
Oak (laurel),48.1,7.3,
Oak (live),61.4,19.6,
Oak (northern red),46.6,7,
Oak (pin),47,7,
Oak (post),45.3,9.9,
Oak (scarlet),57.4,7.7,
Oak (swamp chestnut),50.1,7.7,
Oak (swamp white),59.3,8.2,
Oak (white),51.3,7.4,
Pine (eastern white),33.1,3,
Pine (jack),39,4,
Pine (lobolly),49.2,5.4,
Pine (longleaf),58.4,6.6,
Pine (pitch),41,5.6,
Pine (ponderosa),36.7,4,
Pine (red),41.9,4.1,
Pine (shortleaf),50.1,5.7,
Pine (western white),34.7,3.2,
Poplar (yellow),38.2,3.4,
Redwood (young growth),36,3.6,
Sassafras,32.8,5.9,
Silver fir (Pacific),44.2,3.1,
Spruce (black),41.1,3.8,
Spruce (red),38.2,3.8,
Spruce (white),35.7,3,
Sycamore,37.1,4.8,
Tamarack,49.4,5.5,
Tupelo (black),38.1,6.4,
Walnut (black),52.3,7,
Willow (black),28.3,3,
