Name,Compressive strength,90,
Breccia (volcanic),98,
Conglomerate,118 - 127,
Diabase,177 - 265,
Diorite,94 - 255,
Dolerite,150 - 185,
Dolomite,49 - 171,
Flint,216,
Gabbro,45 - 461,
Gneiss,79 - 323,
Granite,36 - 372,
Granodiorite,147,
Gypsum,6.86,
Labradorite,147,
Limestone (hard),39 - 137,
Limestone (soft),2 - 52,
Marble,30 - 255,
Pumice,2,
Quartzite,25 - 315,
Rock salt,27,
Sandstone (hard),39 - 247,
Sandstone (medium),16 - 34,
Sandstone (soft),7.8 - 16,
Schist,59 - 307,
Slate,59 - 304,
Syenite,98 - 337,
tachylite,35 - 88,
