Metal,Crystal structure,
Actinium (Ac),fcc,
Aluminum (Al),fcc,
Antimony (Sb),rhombic,
Barium (Ba),bcc,
Beryllium (Be),hcp,
Bismuth (Bi),rhombic,
Cadmium (Cd),hcp,
Calcium (Ca),fcc,
Cerium (Ce),dhcp,
Cesium (Cs),bcc,
Chromium (Cr),bcc,
Cobalt (Co),hcp,
Copper (Cu),fcc,
Dysprosium (Dy),hcp,
Erbium (Er),hcp,
Europium (Eu),bcc,
Gadolinium (Gd),hcp,
Gallium (Ga),orthorhombic,
Gold (Au),fcc,
Hafnium (Hf),hcp,
Holmium (Ho),hcp,
Indium (In),tetragonal,
Iridium (Ir),fcc,
Iron (Fe),bcc,
Lanthanum (La),dhcp,
Lead (Pb),fcc,
Lithium (Li),bcc,
Lutetium (Lu),hcp,
Magnesium (Mg),hcp,
Manganese (Mn),cubic,
Mercury (Hg),rhombic,
Molybdenum (Mo),bcc,
Neodymium (Nd),dhcp,
Neptunium (Np),orthorhombic,
Nickel (Ni),fcc,
Niobium (Nb),bcc,
Osmium (Os),hcp,
Palladium (Pd),fcc,
Platinum (Pt),fcc,
Plutonium (Pu),monoclinic,
Polonium (Po),cubic,
Potassium (K),bcc,
Praseodymium (Pr),dhcp,
Promethium (Pm),dhcp,
Protactinium (Pa),tetragonal,
Radium (Ra),bcc,
Rhenium (Re),hcp,
Rhodium (Rh),fcc,
Rubidium (Rb),bcc,
Ruthenium (Ru),hcp,
Samarium (Sm),rhombic,
Scandium (Sc),hcp,
Silver (Ag),fcc,
Sodium (Na),bcc,
Strontium (Sr),fcc,
Tantalum (Ta),bcc,
Technetium (Tc),hcp,
Terbium (Tb),hcp,
Thallium (Tl),hcp,
Thorium (Th),fcc,
Thulium (Tm),hcp,
Tin (Sn),tetragonal,
Titanium (Ti),hcp,
Tungsten (W),bcc,
Uranium (U),orthorhombic,
Vanadium (V),bcc,
Ytterbium (Yb),hcp,
Yttrium (Y),hcp,
Zinc (Zn),hcp,
Zirconium (Zr),hcp,
