Material,Density,
m,2700,
Brass,8730,
Bronze,8700,
Carbon Steel,7850,
Cast Iron,6800 - 7800,
Cement,1440,
Concrete,2400 - 2600,
Copper,8960,
Diamond,3510,
Glass,2500 - 2800,
Gold,19320,
Granite,2600 - 2800,
Gypsum,2200 - 2320,
Ice (at 0°C),917,
Iron,7870,
Lead,11340,
Limestone,2100 - 2760,
Mercury,13546,
Nickel,8900,
Nylon,1140,
Oak,600 - 900,
Oil,700 - 950,
Pine,350 - 600,
Platinum,21450,
Polyethylene,900 - 960,
Polystyrene,960 - 1050,
Polyvinyl Chloride (PVC),1160 - 1550,
Quartz,2200 - 2700,
Rubber,920 - 1150,
Sand,1600 - 1700,
Silicon,2330,
Silver,10490,
Snow,70 - 300,
Stainless Steel,7500 - 8000,
Styrofoam,75 - 100,
Tin,7300,
Titanium,4500,
Water,998,
