Name,Temperature,Density,
"Methanol (CH4O)","20","0.791",
"Ethanol (C2H6O)","20","0.789",
"Propanol (C3H8O)","20","0.804",
"Butanol (C4H10O)","20","0.810",
"Pentanol (C5H12O)","20","0.815",
"Hexanol (C6H14O)","20","0.819",
"Heptanol (C7H16O)","20","0.822",
"Octanol (C8H18O)","20","0.826",
"Nonanol (C9H20O)","20","0.830",
"Decanol (C10H22O)","20","0.830",
"Undecanol (C11H24O)","20","0.830",
"Dodecanol (C12H26O)","20","0.835",
"Tridecanol (C13H28O)","20","0.840",
"Tetradecanol (C14H30O)","20","0.835",
"Pentadecanol (C15H32O)","20","0.835",
"Hexadecanol (C16H34O)","50","0.819",
"Heptadecanol (C17H36O)","20","0.848",
"Octadecanol (C18H38O)","59","0.812",
"Nonadecanol (C19H40O)","25","0.853",
"Eicosanol (C20H42O)","20","0.840",
"Docosanol (C22H46O)","75","0.806",
"Tetracosanol (C24H50O)","25","0.867",
"Hexacosanol (C26H54O)","25","0.868",
"Octacosanol (C28H58O)","25","0.868",
"Triacontanol (C30H62O)","95","0.777",
"Hentriacontanol (C31H64O)","25","0.867",
"Dotriacontanol (C32H66O)","25","0.866",
"Tetratriacontanol (C34H70O)","25","0.864",
"Pentatriacontanol (C35H72O)","25","0.862",
"Hexatriacontanol (C36H74O)","25","0.861",
"Heptatriacontanol (C37H76O)","25","0.860",
"Octatriacontanol (C38H78O)","25","0.858",
"Tetracontanol (C40H82O)","25","0.856",
