Name,Temperature,Density,
,20,0.657,
,0,1.356,
,0,1.967,
,0,2.593,
,20,626,
,20,659,
,20,680,
,20,703,
,20,718,
,20,730,
,20,740,
,20,749,
,20,756,
,25,763,
,20,769,
,25,770,
,20,778,
,28,777,
,20,786,
,20,789,
,20,792,
,20,794,
,48,779,
,20,799,
,20,812,
,60,778,
,60,780,
,20,807,
,20,808,
,20,810,
,68,781,
,20,812,
,25,903,
,25,905,
,25,906,
,80,780,
,25,908,
,25,910,
,25,912,
,25,913,
,25,915,
,25,916,
,25,918,
,25,919,
,25,920,
,25,922,
,25,921,
,25,922,
,25,922,
,25,923,
,25,924,
,25,925,
,25,925,
,25,926,
,25,927,
,25,927,
,25,928,
,25,928,
,25,929,
,25,930,
,25,930,
,25,931,
,25,931,
,25,932,
,25,933,
,25,933,
,25,934,
,25,934,
,25,935,
,25,935,
