Name,Temperature,Density,
"Ethene (C2H4)","0","1.252",
"Propene (C3H6)","25","1.745",
"Butene (C4H8)","20","620",
"Pentene (C5H10)","20","641",
"Hexene (C6H12)","20","673",
"Heptene (C7H14)","20","697",
"Octene (C8H16)","20","715",
"Nonene (C9H18)","20","743",
"Decene (C10H20)","20","740",
"Undecene (C11H22)","20","750",
"Dodecene (C12H24)","20","758",
"Tridecene (C13H26)","20","765",
"Tetradecene (C14H28)","20","775",
"Pentadecene (C15H30)","25","773",
"Hexadecene (C16H32)","20","781",
"Heptadecene (C17H34)","25","782",
"Octadecene (C18H36)","20","789",
"Nonadecene (C19H38)","25","782",
"Eicosene (C20H40)","30","786",
"Heneicosene (C21H42)","40","776",
"Docosene (C22H44)","40","783",
"Tricosene (C23H46)","40","789",
"Tetracosene (C24H48)","40","794",
"Pentacosene (C25H50)","40","798",
"Hexacosene (C26H52)","40","802",
"Heptacosene (C27H54)","40","805",
"Octacosene (C28H56)","40","808",
"Nonacosene (C29H58)","25","810",
"Triacontene (C30H60)","25","812",
"Hentriacontene (C31H62)","25","900",
"Dotriacontene (C32H64)","25","902",
"Tritriacontene (C33H66)","25","904",
"Tetratriacontene (C34H68)","25","905",
"Pentatriacontene (C35H70)","25","907",
"Hexatriacontene (C36H72)","25","909",
"Heptatriacontene (C37H74)","25","910",
"Octatriacontene (C38H76)","25","912",
"Nonatriacontene (C39H78)","25","914",
"Tetracontene (C40H80)","25","915",
"Hentetracontene (C41H82)","25","917",
"Dotetracontene (C42H84)","25","918",
"Tritetracontene (C43H86)","25","920",
"Tetratetracontene (C44H88)","25","921",
"Pentatetracontene (C45H90)","25","923",
"Hexatetracontene (C46H92)","25","924",
"Heptatetracontene (C47H94)","25","925",
"Octatetracontene (C48H96)","25","926",
"Nonatetracontene (C49H98)","25","927",
"Pentacontene (C50H100)","25","928",
