Name,Temperature,Density,
"Acetylene (C2H2)","0","1.175",
"Propyne (C3H4)","25","607",
"1-Butyne (C4H6)","25","648",
"1-Pentyne (C5H8)","25","688",
"1-Hexyne (C6H10)","25","712",
"1-Heptyne (C7H12)","25","728",
"1-Octyne (C8H14)","25","743",
"1-Nonyne (C9H16)","25","752",
"1-Decyne (C10H18)","25","762",
"1-Undecyne (C11H20)","25","769",
"1-Dodecyne (C12H22)","25","775",
"1-Tridecyne (C13H24)","25","781",
"1-Tetradecyne (C14H26)","25","787",
"1-Pentadecyne (C15H28)","25","789",
"1-Hexadecyne (C16H30)","25","793",
"1-Heptadecyne (C17H32)","25","796",
"1-Octadecyne (C18H34)","25","803",
"1-Nonadecyne (C19H36)","70","805",
"1-Eicosyne (C20H38)","70","807",
"1-Heneicosyne (C21H40)","70","821",
"1-Docosyne (C22H42)","70","827",
"1-Tricosyne (C23H44)","70","831",
"1-Tetracosyne (C24H46)","70","835",
"1-Pentacosyne (C25H48)","70","838",
"1-Hexacosyne (C26H50)","70","841",
"1-Heptacosyne (C27H52)","70","843",
"1-Octacosyne (C28H54)","70","844",
"1-Nonacosyne (C29H56)","70","845",
"1-Triacontyne (C30H58)","70","846",
"1-Hentriacontyne (C31H60)","70","900",
"1-Dotriacontyne (C32H62)","70","902",
"1-Tritriacontyne (C33H64)","70","904",
"1-Tetratriacontyne (C34H66)","70","905",
"1-Pentatriacontyne (C35H68)","70","907",
"1-Hexatriacontyne (C36H70)","70","909",
"1-Heptatriacontyne (C37H72)","70","910",
"1-Octatriacontyne (C38H74)","70","912",
"1-Nonatriacontyne (C39H76)","70","914",
"1-Tetracontyne (C40H78)","70","915",
