Name,Temperature,Density,
Alanine (Ala) (C3H7NO2),22,1.430,
Arginine (Arg) (C6H14N4O2),25,1.230,
Asparagine (Asn) (C4H8N2O3),15,1.543,
Aspartic Acid (Asp) (C4H7NO4),20,1.700,
Cysteine (Cys) (C3H7NO2S),25,1.180,
Glutamic Acid (Glu) (C5H9NO4),20,1.538,
Glutamine (Gln) (C5H10N2O3),20,1.364,
Glycine (Gly) (C2H5NO2),20,1.161,
Histidine (His) (C6H9N3O2),25,1.309,
Isoleucine (Ile) (C6H13NO2),24,1.293,
Leucine (Leu) (C6H13NO2),18,1.293,
Lysine (Lys) (C6H14N2O2),25,1.136,
Methionine (Met) (C5H11NO2S),20,1.178,
Phenylalanine (Phe) (C9H11NO2),25,1.160,
Proline (Pro) (C5H9NO2),25,1.180,
Serine (Ser) (C3H7NO3),22,1.600,
Threonine (Thr) (C4H9NO3),25,1.313,
Tryptophan (Trp) (C11H12N2O2),25,1.175,
Tyrosine (Tyr) (C9H11NO3),25,1.237,
Valine (Val) (C5H11NO2),25,1.230,
