Name,Type,Density,
,Inorganic,3.2,
,Inorganic,2.42,
,Inorganic,0.77,
,Organic,1.022,
Barium Oxide (BaO),Inorganic,5.72,
,Organic,0.74,
,Inorganic,2.2,
Cesium Hydroxide (CsOH),Inorganic,3.68,
,Inorganic,3.37,
,Organic,0.707,
,Organic,1.1,
,Organic,0.689,
Lithium Hydroxide (LiOH),Inorganic,1.45,
,Inorganic,2.013,
,Inorganic,2.37,
,Organic,0.862,
Potassium Hydroxide (KOH),Inorganic,2.044,
,Organic,0.717,
,Organic,0.982,
Rubidium Hydroxide (RbOH),Inorganic,3.2,
,Inorganic,1.39,
Sodium Hydride (NaH),Inorganic,1.39,
Sodium Hydroxide (NaOH),Inorganic,2.13,
,Inorganic,3.625,
Strontium Oxide (SrO),Inorganic,4.7,
,Organic,0.889,
,Organic,0.633,
,Inorganic,3.05,
