Mineral,Density,
Actinolite,3230,
Albite,2630,
Almandine,4320,
Anatase,4230,
Andalusite,3150,
Andesine,2670,
Anhydrite,2960,
Apatite,3200,
Apophyllite,2350,
Aragonite,2830,
Arsenopyrite,6100,
Augite,3380,
Azurite,3770,
Barite,4490,
Benitoite,3650,
Beryl,2640,
Biotite,3000,
Borax,1730,
Bornite,5070,
Brucite,2370,
Calcite,2710,
Carbon (diamond),3510,
Cassiterite,6850,
Chalcopyrite,4200,
Chlorite,3000,
Chromite,5000,
Chrysocolla,2400,
Cinnabar,8170,
Cordierite,2660,
Corundum,3970,
Covellite,4800,
Cuprite,6000,
Danburite,3000,
Diaspore,3400,
Diopside,3300,
Dioptase,3500,
Dolomite,2860,
Enstatite,3190,
Epidote,3440,
Fluorite,3180,
Galena,7600,
Goethite,4300,
Gypsum,2320,
Halite,2170,
Hematite,5250,
Hemimorphite,3450,
Hornblende,3240,
Ilmenite,4720,
Jadeite,3340,
Kaolinite,2650,
Kyanite,3590,
Lepidolite,2850,
Magnesite,3050,
Magnetite,5170,
Malachite,4050,
Marcasite,5020,
Molybdenite,5060,
Montmorillonite,2500,
Muscovite,2830,
Nepheline,2610,
Olivine,3810,
Opal,1900,
Orthoclase,2560,
Petalite,2420,
Phenakite,2980,
Prehnite,2930,
Psilomelane,4710,
Pyrite,5020,
Pyrolusite,5080,
Pyrope,3580,
Pyrrhotite,4620,
Quartz (α),2650,
Realgar,3500,
Rutile,4230,
Scapolite,2640,
Scolecite,2270,
Serpentine,2550,
Siderite,3900,
Sillimanite,3250,
Smithsonite,4400,
Sodalite,2300,
Spessartite,4190,
Sphalerite,4000,
Sphene,3500,
Spinel,3550,
Staurolite,3790,
Stibnite,4560,
Stilbite,2200,
Struvite,1710,
Sulfur (orthorhombic),2070,
Talc,2710,
Topaz,3530,
Tourmaline,3140,
Vanadinite,6800,
Vermiculite,2300,
Vesuvianite,3330,
Wollastonite,2920,
Wulfenite,6700,
Wurtzite,4090,
Zircon,4600,
Zoisite,3260,
