Name,Density,
00 - 3000,
Andesite,2400 - 2900,
Anorthosite,2750,
Anthracite,1400 - 1700,
Aplite,2600 - 2700,
Asbestos,2000 - 2800,
Basalt,2800 - 3200,
Basanite,2600 - 3200,
Bauxite,2550,
Breccia (volcanic),2140 - 3000,
Chalk,1200 - 2800,
Clay (soft shale),2200 - 2700,
Coal,1400 - 1800,
Conglomerate,2200 - 2700,
Diabase,2800 - 3100,
Diatomite,450 - 2300,
Diorite,2770 - 3000,
Dolerite,2700 - 3000,
Dolomite,2760 - 2840,
Flint,2500 - 2800,
Gabbro,2700 - 3300,
Gneiss,2500 - 2900,
Granite,2640 - 2760,
Granodiorite,2680 - 3000,
Gravel (dry),1400 - 1700,
Grenatite,3500 - 4300,
Gypsum,2200 - 2320,
Labradorite,2800,
Lignite,1100 - 1400,
Limestone (hard),2100 - 2760,
Limestone (soft),1200 - 2200,
Marble,2600 - 2800,
Marl,1800 - 2600,
Mica schist,2400 - 3200,
Microdiorite,2700 - 3000,
Microgabbro,2700 - 3100,
Microgranite,2500 - 2700,
Microsyenite,2700 - 2900,
Nepheline syenite,2600 - 2700,
Obsidian,2300 - 2800,
Pechstein,2200 - 2400,
Peat,300 - 840,
Peridotite,3100 - 3450,
Pumice,390 - 1100,
Quartzite,2640 - 2730,
Rhyolite,2100 - 2690,
Rock salt,2100 - 2200,
Sand (dry),1600 - 1700,
Sandstone (hard),2140 - 2650,
Sandstone (medium),2000 - 2140,
Sandstone (soft),1600 - 2000,
Schist,1500 - 3200,
Shale,2600 - 2900,
Slate,2700 - 2950,
Syenite,2600 - 2900,
Tachylite,2300 - 2800,
Trachyte,2200 - 2700,
