Material,Type,Density,Ceramic,3600,
,Ceramic,3720,
,Ceramic,3890,
,Ceramic,3870,
,Ceramic,3990,
Alumina porcelain,Ceramic,3100 - 3900,
Asbestos wool,Mineral,400,
Askarel (pyralene, pyranol),Liquid,1560,
Bakelite (phenol formaldehyde resin),Polymer,1270,
,Mineral,4490,
,Ceramic,5520,
,Ceramic,6020,
Beryllia (99.5 wt% BeO),Ceramic,2850,
Boron nitride (BN),Ceramic,2250,
Calcium oxide (CaO),Ceramic,3320,
,Mineral,6480,
,Mineral,3970,
Cellulose acetate,Thermoplastic,1310,
Cellulose triacetate,Thermoplastic,1310,
Cinnabar (HgS),Mineral,8170,
,Mineral,2800,
Corning® 0010,Glass,2860,
Corning® 0080,Glass,2470,
Corning® 0120,Glass,3050,
,Mineral,6106,
Ebonite,Polymer,1150 - 1200,
,Mineral,3180,
Fluoroelastomer,Elastomer,2200,
,Mineral,3220,
Hard rubber,Elastomer,1050,
,Mineral,5256,
Hexagonal boron nitride (96 wt% BN),Ceramic,2110,
Macor,Glass,2520,
,Mineral,5201,
,Rock,2800,
,Mineral,2880,
,Mineral,2800,
Mineral oil (transformers),Liquid,880,
,Ceramic,3260,
,Ceramic,4470,
Ozocerite (natural paraffins),Mineraloid,850 - 950,
Paper (kraft, dry),Paper,930,
Periclase (MgO),Mineral,3560,
Polyamide,Thermoplastic,1130,
Polyester,Thermoplastic,1400,
Polyethylene,Thermoplastic,940,
Polyimide,Thermoplastic,1420,
Polypropylene,Thermoplastic,910 - 940,
Polytetrafluoroethylene,Thermoplastic,2200,
Polytrifluorochloroethylene,Thermoplastic,2150,
Polyurethane,Thermoset,1260,
Polyvinyl chloride,Thermoplastic,1500,
Polyvinyl fluoride,Thermoplastic,1380,
Polyvinylidene chloride,Thermoplastic,1640,
Polyvinylidene fluoride,Thermoplastic,1760,
Pyrex® 1710,Glass,2520,
Pyrex® 3320,Glass,2230,
Pyrex® 7040,Glass,2240,
Pyrex® 7050,Glass,2240,
Pyroceram,Ceramic,2600,
,Mineral,5234,
,Mineral,4230 - 4250,
,Ceramic,2202,
,Ceramic,3200 - 3300,
Slate,Rock,2800,
Soda lime glass,Glass,2530,
Soapstone,Mineral,2900,
,Mineral,3583,
Steatite (talc),Ceramic,2500 - 2700,
,Mineral,3720,
Strontium oxide (SrO),Ceramic,5100,
,Ceramic,5100,
Sulfur (sublimed),Mineral,2000,
,Gas,6.6,
,Ceramic,8200,
,Ceramic,9860,
,Ceramic,10960,
,Glass,2180,
,Mineral,4290,
,Ceramic,5010,
Zinc oxide (ZnO),Ceramic,5600,
,Ceramic,5700,
