Fuel,Density,
"Anthracite coal","1400 - 1800",
"Benzene","877",
"Bituminous coal","1200 - 1500",
"Butane","2500",
"Charcoal wood","200 - 600",
"Coke (petroleum)","1700 - 2000",
"Cooking oil (used)","840",
"Crude oil (petroleum)","810 - 975",
"Diesel fuel no-1","856",
"Ethanol","790",
"Fuel oil","890 - 955",
"Gasoline","740",
"Kerosene","820",
"Lignite","1100 - 1400",
"Methanol","791",
"Naphtha","641",
"Natural gas","700 - 900",
"Oil ASTM no-1","806 - 845",
"Oil ASTM no-2","855 - 876",
"Oil ASTM no-4","887 - 910",
"Oil ASTM no-5 (light)","922 - 934",
"Oil ASTM no-5 (light)","945 - 950",
"Oil ASTM no-6","959 - 986",
"Peat (air-dried)","240 - 400",
"Peat (mulled)","650 - 870",
"Peat (briquettes)","650 - 961",
"Propane","1700",
"Recycled oil","838",
"Rice hulls","400 - 481",
"Toluene (toluol)","866",
