Halide,Temperature,Density,150,
Hydrogen Chloride (HCl),20,1.49,
Hydrogen Bromide (HBr),20,3.31,
Hydrogen Iodide (HI),0,5.66,
Sodium Fluoride (NaF),20,2780,
Sodium Chloride (NaCl),25,2170,
Sodium Bromide (NaBr),25,3200,
Sodium Iodide (NaI),25,3670,
Potassium Fluoride (KF),25,2480,
Potassium Chloride (KCl),25,1988,
Potassium Bromide (KBr),25,2740,
Potassium Iodide (KI),25,3120,
,25,3180,
,25,2150,
,20,3350,
,25,3960,
,25,3148,
,25,2325,
,25,3720,
,25,4430,
,25,3100,
,25,2480,
,25,3200,
,25,3980,
,25,2907,
,20,4200,
,25,4740,
Silver Fluoride (AgF),25,5852,
Silver Chloride (AgCl),25,5560,
Silver Bromide (AgBr),25,6470,
Silver Iodide (AgI),25,5680,
Copper(I) Fluoride (CuF),25,7100,
Copper(I) Chloride (CuCl),25,4140,
Copper(I) Bromide (CuBr),25,4720,
Copper(I) Iodide (CuI),25,5670,
,25,4230,
,25,3400,
,20,4770,
,25,4090,
,25,3160,
,25,4636,
,25,5300,
,25,2900,
,25,4500,
