Name,Temperature,Density,
,0,1.976,
,25,2200,
,0,2.858,
,20,1.880,
Carbon monoxide (CO),0,1.250,
Nitric oxide (NO),0,1.270,
,25,1440,
,25,3965,
,25,5250,
Iron(II) oxide (FeO),25,6000,
Copper(II) oxide (CuO),25,6310,
Zinc oxide (ZnO),25,5600,
Lead(II) oxide (PbO),20,9500,
Magnesium oxide (MgO),25,3600,
,25,2270,
,20,2350,
Calcium oxide (CaO),25,3340,
,25,5220,
,25,5080,
Nickel(II) oxide (NiO),25,6720,
,20,6950,
Mercury(II) oxide (HgO),25,11140,
Barium oxide (BaO),25,5720,
Strontium oxide (SrO),25,5100,
Beryllium oxide (BeO),25,3010,
,25,4230,
,25,3350,
,25,2700,
Manganese(II) oxide (MnO),25,5370,
Cobalt(II) oxide (CoO),25,6440,
,25,7050,
,25,8200,
Palladium(II) oxide (PdO),25,8300,
,25,7200,
Cadmium oxide (CdO),25,8150,
,25,7180,
,25,3780,
,25,6040,
,25,4980,
,25,3290,
,25,5100,
,25,4550,
,22,1768,
,25,2000,
