Name,Temperature,Density,
"Ammonium dihydrogen phosphate (H6NO4P)","25","1.800",
"Calcium dihydrogen phosphate (CaH4P2O8)","18","2.220",
"Calcium hydrogen phosphate (CaHPO4)","25","2.920",
"Calcium phosphate (Ca3(PO4)2)","25","3.140",
"Sodium dihydrogen phosphate (NaH2PO4)","25","2.360",
"Sodium hydrogen phosphate (Na2HPO4)","25","1.700",
"Trisodium phosphate (Na3PO4)","17","2.540",
"Potassium dihydrogen phosphate (KH2PO4)","25","2.340",
"Potassium phosphate (K3PO4)","25","2.564",
"Iron(III) phosphate (FePO4)","25","2.870",
"Aluminum phosphate (AlPO4)","25","2.560",
"Magnesium phosphate (Mg3(PO4)2)","25","2.195",
"Zinc phosphate (Zn3(PO4)2)","25","4.000",
"Lead(II) phosphate (Pb3(PO4)2)","25","7.010",
"Bismuth(III) phosphate (BiPO4)","25","6.320",
