Name,Density,
Sodium chloride (NaCl),2.170,
Potassium chloride (KCl),1.988,
Calcium chloride (CaCl2),2.150,
Sodium carbonate (Na2CO3),2.540,
Sodium sulfate (Na2SO4),2.670,
Potassium sulfate (K2SO4),2.660,
Magnesium sulfate (MgSO4),2.660,
Sodium bicarbonate (NaHCO3),2.200,
Ammonium chloride (NH4Cl),1.519,
Ammonium sulfate ((NH4)2SO4),1.770,
Sodium nitrate (NaNO3),2.260,
Potassium nitrate (KNO3),2.100,
Aluminum sulfate (Al2(SO4)3),1.610,
Potassium phosphate (K3PO4),2.564,
Sodium acetate (C2H3NaO2),1.528,
Sodium thiosulfate (Na2S2O3),1.667,
Ammonium nitrate (NH4NO3),1.720,
Calcium chloride dihydrate (CaCl2H4O2),1.850,
Potassium bromide (KBr),2.740,
Sodium bromide (NaBr),3.200,
Sodium metabisulfite (Na2S2O5),1.480,
Sodium bisulfite (NaHSO3),1.480,
Sodium bisulfate (NaHSO4),2.430,
Sodium hydrogen carbonate (NaHCO3),2.200,
Potassium chlorate (KClO3),2.320,
Sodium chlorate (NaClO3),2.500,
Sodium perchlorate (NaClO4),2.520,
Potassium permanganate (KMnO4),2.700,
Sodium chromate (Na2CrO4),2.720,
Sodium dichromate (Na2Cr2O7),2.350,
Sodium Borate (Na2B4O7),2.400,
Sodium sulfate decahydrate (Na2SO4·10H2O),1.460,
Sodium nitrite (NaNO2),2.170,
Sodium hydrosulfide (NaHS),1.790,
