Name,Density,
Iron(II) Sulfide (FeS),4.700,
Zinc Sulfide (ZnS),4.090,
Lead(II) Sulfide (PbS),7.600,
Copper(I) Sulfide (Cu2S),5.600,
Copper(II) Sulfide (CuS),4.760,
Silver Sulfide (Ag2S),7.230,
Mercury(II) Sulfide (HgS),8.100,
Cobalt Sulfide (CoS),5.450,
Cadmium Sulfide (CdS),4.830,
Molybdenum(IV) Sulfide (MoS2),5.060,
Manganese(II) Sulfide (MnS),4.000,
Bismuth(III) Sulfide (Bi2S3),6.780,
Antimony(III) Sulfide (Sb2S3),4.562,
Arsenic(III) Sulfide (As2S3),3.460,
Tin(II) Sulfide (SnS),5.080,
Tin(IV) Sulfide (SnS2),4.500,
Aluminum Sulfide (Al2S3),2.020,
Chromium(III) Sulfide (Cr2S3),3.800,
Sodium Sulfide (Na2S),1.856,
Potassium Sulfide (K2S),1.740,
Barium Sulfide (BaS),4.300,
Strontium Sulfide (SrS),3.700,
Calcium Sulfide (CaS),2.590,
Magnesium Sulfide (MgS),2.680,
Lithium Sulfide (Li2S),1.640,
Rubidium Sulfide (Rb2S),2.910,
