Temperature °C,Density (kg/m3),Temperature °C,Density (kg/m3),

2,999.94,53,986.62,
3,999.98,54,986.14,
4,1000,55,985.65,
5,1000,56,985.16,
6,999.99,57,984.66,
7,999.96,58,984.16,
8,999.91,59,983.64,
9,999.85,60,983.13,
10,999.77,61,982.60,
11,999.68,62,982.07,
12,999.58,63,981.54,
13,999.46,64,981.00,
14,999.33,65,980.45,
15,999.19,66,979.90,
16,999.03,67,979.34,
17,998.86,68,978.78,
18,998.68,69,978.21,
19,998.49,70,977.63,
20,998.29,71,977.05,
21,998.08,72,976.47,
22,997.86,73,975.88,
23,997.62,74,975.28,
24,997.38,75,974.68,
25,997.13,76,974.08,
26,996.86,77,973.46,
27,996.59,78,972.85,
28,996.31,79,972.23,
29,996.02,80,971.60,
30,995.71,81,970.97,
31,995.41,82,970.33,
32,995.09,83,969.69,
33,994.76,84,969.04,
34,994.43,85,968.39,
35,994.08,86,967.73,
36,993.73,87,967.07,
37,993.37,88,966.41,
38,993.00,89,965.74,
39,992.63,90,965.06,
40,992.25,91,964.38,
41,991.86,92,963.70,
42,991.46,93,963.01,
43,991.05,94,962.31,
44,990.64,95,961.62,
45,990.22,96,960.91,
46,989.80,97,960.20,
47,989.36,98,959.49,
48,988.92,99,958.78,
49,988.47,100,958.05,
