Gas,Dynamic viscosity,
5,
Ammonia,9.8,
Argon,22.5,
Arsine,14.6,
Boron trichloride,11.4,
Boron trifluoride,17.1,
Butane,7.5,
1-Butene,7.0,
Carbon dioxide,15.0,
Carbon monoxide,17.8,
Carbonyl sulfide,11.3,
Chlorine,12.5,
Chloroethane,9.7,
Chloromethane,9.9,
Cyanogen,14.4,
Cyclopropane,8.7,
Deuterium,12.6,
Diborane,7.9,
Dichlorosilane,11.2,
Dimethylamine,7.7,
Dimethyl ether,9.2,
Ethane,9.4,
Ethylene,10.4,
Fluorine,23.2,
Helium,19.9,
Hydrogen,8.9,
Hydrogen bromide,17.5,
Hydrogen chloride,14.6,
Hydrogen sulfide,12.5,
Isobutane,7.5,
Krypton,25.5,
Methane,11.1,
Neon,31.9,
Nitric oxide,19.2,
Nitrogen,17.9,
Nitrous oxide,15.0,
Oxygen,20.7,
Phosphine,10.6,
Propane,8.2,
Propylene,7.8,
Sulfur Dioxide,12.9,
Sulfur hexafluoride,15.3,
Xenon,23.2,
