Material,Conductivity (S/m),
per,,
Beryllium,,
Cadmium,,
Calcium,,
Carbon - amorphous,,
Carbon - diamond,,
Carbon - graphite (parallel to basal plane),,
Carbon - graphite (perpendicular to basal plane),,
Carbon steel (1010),,
Chromium,,
Cobalt,,
Constantan,,
Copper,,
Deionized water,,
Drinking water,0.0005 - 0.05,
Fused quartz,,
Gallium arsenide (GaAs),,
Galinstan,,
Gallium,,
Germanium,2.17,
Glass,,
Gold,,
Grain oriented electrical steel,,
Hard rubber,,
Indium,,
Iridium,,
Iron,,
Lead,,
Lithium,,
Magnesium,,
Manganese,,
Manganin,,
Mercury,,
Molybdenum,,
Nichrome,,
Nickel,,
Niobium,,
Osmium,,
Palladium,,
PET,,
Platinum,,
Potassium,,
Rhenium,,
Rhodium,,
Rubidium,,
Ruthenium,,
Sea water,4.5 - 5.5,
Silicon,,
Silver,,
Sodium,,
Stainless steel,,
Strontium,,
Sulfur,,
Swimming pool water,0.25,
Tantalum,,
Technetium,,
Teflon (PTFE),,
Thallium,,
Thorium,,
Tin,,
Titanium,,
Tungsten,,
Wood - damp,,
Wood - oven dry,,
Zinc,,
