Name,Class,Conductivity (S/m),
orides,,
,Borides,0.45,
,Borides,1.6,
,CLASS,4.8,
,Borides,5.7,
,Borides,2.2,
,Borides,0.0005,
Tantalum boride (TaB),Borides,1,
Titanium boride (TiB),Borides,2.5,
Tungsten boride (WB),Borides,24,
,Borides,4.3,
,Borides,11,
,Carbides,0.022,
,Carbides,1.3,
Graphite (C),Carbides,0.072,
Hafnium carbide (HfC),Carbides,2.2,
Molybdenum carbide (MoC),Carbides,2,
Thorium carbide (ThC),Carbides,4,
Titanium carbide (TiC),Carbides,1.9,
Tungsten carbide (WC),Carbides,5.2,
,Carbides,1.2,
Uranium carbide (UC),Carbides,2,
Zirconium carbide (ZrC),Carbides,1.5,
Aluminum nitride (AlN),Nitrides,,
Boron nitride (BN),Nitrides,,
Chromium nitride (CrN),Nitrides,0.16,
Hafnium nitride (HfN),Nitrides,3,
Niobium nitride (NbN),Nitrides,1.3,
Titanium nitride (TiN),Nitrides,4.6,
Vanadium nitride (VN),Nitrides,1.2,
Zirconium nitride (ZrN),Nitrides,7.4,
,Silicides,0.071,
,Silicides,2.2,
,Silicides,4.7,
,Silicides,12,
,Silicides,0.81,
,Silicides,3,
,Silicides,0.67,
,Silicides,11,
,Silicides,0.49,
,Silicides,0.62,
,Oxides,,
Calcium oxide (CaO),Oxides,1e-12,
,Oxides,,
,Oxides,,
,Oxides,,
,Oxides,,
,Oxides,,
,Oxides,,
,Oxides,,
,Oxides,,
,Oxides,,
