Material,Class,Conductivity (S/cm),
"Alumina (90 wt% Al2O3)","Ceramic","10-14",
"Alumina (96 wt% Al2O3)","Ceramic","10-14",
"Alumina (99.5 wt% Al2O3)","Ceramic","10-15",
"Alumina (99.9 wt% Al2O3)","Ceramic","10-14",
"Alumina (99.99 wt% Al2O3)","Ceramic","10-15",
"Alumina porcelain","Ceramic","10-14",
"Bakelite (phenol formaldehyde resin)","Polymer","10-15",
"Cellulose acetate","Thermoplastic","10-13",
"Cellulose triacetate","Thermoplastic","10-15",
"Cordierite (Mg2Al4Si5O18)","Mineral","10-14",
"Corning® 0010","Glass","10-17",
"Corning® 0080","Glass","10-12",
"Corning® 0120","Glass","10-17",
"Ebonite","Polymer","10-15",
"Fluoroelastomer","Elastomer","10-17",
"Forsterite (Mg2SiO4)","Mineral","10-13",
"Macor®","Glass","10-16",
"Marble (CaCO3)","Rock","10-10 - 10-8",
"Mica, muscovite type (KAl2(Si3Al)O10(OH,F)2)","Mineral","10-13 - 10-11",
"Mica, phlogopite type (KMg3AlSi3O10(F,OH)2)","Mineral","10-15 - 10-12",
"Mullite (Al6Si2O13)","Ceramic","10-13",
"Ozocerite (natural paraffins)","Mineraloid","10-14",
"Polyester","Thermoplastic","10-18",
"Polyethylene","Thermoplastic","10-16",
"Polyimide","Thermoplastic","10-18",
"Polypropylene","Thermoplastic","10-16",
"Polytetrafluoroethylene","Thermoplastic","10-18",
"Polytrifluorochloroethylene","Thermoplastic","10-18",
"Polyurethane","Thermoset","10-11",
"Polyvinyl chloride","Thermoplastic","10-14",
"Polyvinyl fluoride","Thermoplastic","10-13",
"Polyvinylidene chloride","Thermoplastic","10-16",
"Polyvinylidene fluoride","Thermoplastic","10-14",
"Rutile (TiO2)","Mineral","10-14",
"Silicon dioxide (SiO2)","Ceramic","10-17 - 10-14",
"Silicon nitride (Si3N4)","Ceramic","10-14",
"Soapstone","Mineral","10-13",
"Steatite (talc)","Ceramic","10-13",
"Vycor® (96 wt% SiO2, 3 wt% B2O3)","Glass","10-16",
"Zirconium oxide (ZrO2)","Ceramic","10-15",
