Name,Conductivity (S/m),
"Acrylonitrile butadiene styrene (ABS)","10-13",
"Cellulose acetate (CA)","10-10",
"Chlorinated polyvinyl chloride (CPVC)","10-13",
"Ethylene tetrafluoroethylene (ETFE)","10-15",
"Fluorinated ethylene propylene (FEP)","10-6",
"Nylon 6 (PA6)","2×10-11",
"Nylon 11 (PA11)","10-11",
"Nylon 12 (PA12)","10-11",
"Nylon 46 (PA46)","10-11",
"Nylon 66 (PA66)","10-11",
"Perfluorinated alkoxy (PFA)","10-16",
"Phenol formaldehyde (PF)","10-10",
"Polyamide-imide (PAI)","10-15",
"Polyarylate resins (PAR)","10-10",
"Polybenzeneimidazole (PBI)","10-11",
"Polybutadiene (BR)","10-13",
"Polycarbonate (PC)","10-14",
"Polyether ether ketone (PEEK)","10-14",
"Polyetherimide (PEI)","10-13",
"Polyethersulfone (PESU)","10-15",
"High-density polyethylene (HDPE)","10-13",
"Low-density polyethylene (LDPE)","10-13",
"Medium-density polyethylene (MDPE)","10-15",
"Ultrahigh molecular weight polyethylene (UHMWPE)","10-6",
"Polyethylene naphthalate (PEN)","10-13",
"Polyethylene terephthalate (PET)","10-12",
"Polyhydroxybutyrate (PHB)","10-14",
"Polyimide (PI)","10-16",
"Polyisoprene (PIP)","10-13",
"Polymethyl methacrylate (PMMA)","10-13",
"Polymethylpentene (PMP)","10-14",
"Polyoxymethylene (POM)","10-13",
"Polyphenylene oxide (PPO)","5×10-16",
"Polyphenylene sulfide (PPS)","10-12",
"Polypropylene (PP atactic)","10-14",
"Polypropylene (PP isotactic)","10-14",
"Polypropylene (PP syndiotactic)","10-14",
"High-impact polystyrene (HIPS)","10-14",
"Polystyrene (PS)","10-14",
"Polysulfide rubber (PSR)","10-6",
"Polysulfone (PSU)","10-14",
"Polytetrafluoroethylene (PTFE)","10-16",
"Polyurethane (PUR)","10-10",
"Polyvinylidene chloride (PVDC)","10-10",
"Polyvinylidene fluoride (PVDF)","10-12",
"Polyvinyl fluoride (PVF)","10-7",
"Polyvinyl chloride (PVC)","10-14",
"Styrene-butadiene rubber (SBR)","10-12",
