Material,Resistivity (Ω.m),
Air,109 - 1016,
Aluminum,2.65 ×10-8 - 2.82 ×10-8,
Asbestos,1011 - 1013,
Bakelite,109 - 1011,
Carbon (amorphous),1.5 ×10-5 - 4.5 ×10-5,
Carbon (graphite),1.5 ×10-5,
Concrete,106,
Constantan,4.9 ×10-7,
Copper,1.7 ×10-8,
Diamond,1012 - 1016,
Distilled water,5 ×103,
Germanium,10-3 - 5 ×10-1,
Glass,1010 - 1014,
Gold,2.44 ×10-8,
Granite,108 - 1010,
Graphene,6 ×10-8,
Hydrogen,106 - 109,
Iron,9.7 ×10-8,
Lead,2.2 ×10-7,
Manganin,4.5 ×10-7,
Marble,107 - 109,
Mercury,9.8 ×10-7,
Mica,1012 - 1016,
Nichrome,1.25 ×10-6,
Nickel,6.99 ×10-8,
Nylon,1012,
Platinum,1.06 ×10-7,
Polyethylene,1016 - 1017,
Pure water,2 ×105,
Polyvinyl Chloride (PVC),1016,
Quartz,7 ×1017,
Rain water,2 ×102,
Rubber,1013 - 1015,
Sea water,0.2,
Semiconductors,10-6 - 108,
Silicon,6.4 ×10-2,
Silicon carbide,10-3,
Silver,1.59 ×10-8,
Stainless steel,6.9 ×10-7,
Superconductors,0 (at critical temp),
Tin,1.09 ×10-7,
Tungsten,5.6 ×10-8,
Wood (oak),1010 - 1011,
Zinc,5.9 ×10-8,
