Name,Class,Resistivity,
"Barium hexaboride (BaB6)","Borides","7.7×10-5",
"Beryllium diboride (BeB2)","Borides","0.01",
"Beryllium hexaboride (BeB6)","Borides","107",
"Calcium hexaboride (CaB6)","Borides","2.22×10-4",
"Chromium boride (Cr5B3)","Borides","6.4×10-5",
"Chromium diboride (CrB2)","Borides","2.1×10-5",
"Lanthanum hexaboride (LaB6)","Borides","1.74×10-5",
"Molybdenum diboride (MoB2)","Borides","4.5×10-5",
"Silicon hexaboride (SiB6)","Borides","0.2",
"Tantalum boride (TaB)","Borides","10-4",
"Titanium boride (TiB)","Borides","4.0×10-5",
"Tungsten boride (WB)","Borides","4.1×10-6",
"Vanadium diboride (VB2)","Borides","2.3×10-5",
"Zirconium diboride (ZrB2)","Borides","9.2×10-6",
"Boron carbide (B4C)","Carbides","4.5×10-3",
"Chromium carbide (Cr3C2)","Carbides","7.5×10-5",
"Graphite (C)","Carbides","1.385×10-3",
"Hafnium carbide (HfC)","Carbides","4.5×10-5",
"Molybdenum carbide (MoC)","Carbides","5.0×10-5",
"Thorium carbide (ThC)","Carbides","2.5×10-5",
"Titanium carbide (TiC)","Carbides","5.25×10-5",
"Tungsten carbide (WC)","Carbides","1.92×10-5",
"Tungsten hemicarbide (W2C)","Carbides","8.1×10-5",
"Uranium carbide (UC)","Carbides","5.0×10-5",
"Zirconium carbide (ZrC)","Carbides","6.8×10-5",
"Aluminum nitride (AlN)","Nitrides","1011",
"Boron nitride (BN)","Nitrides","1013",
"Chromium nitride (CrN)","Nitrides","6.4×10-4",
"Hafnium nitride (HfN)","Nitrides","3.3×10-5",
"Niobium nitride (NbN)","Nitrides","7.8×10-5",
"Titanium nitride (TiN)","Nitrides","2.17×10-5",
"Vanadium nitride (VN)","Nitrides","8.6×10-5",
"Zirconium nitride (ZrN)","Nitrides","1.36×10-5",
"Chromium disilicide (CrSi2)","Silicides","1.4×10-3",
"Chromium silicide (Cr3Si)","Silicides","4.55×10-5",
"Molybdenum disilicide (MoSi2)","Silicides","2.15×10-5",
"Tantalum disilicide (TaSi2)","Silicides","8.5×10-6",
"Titanium disilicide (TiSi2)","Silicides","1.23×10-4",
"Tungsten disilicide (WSi2)","Silicides","3.34×10-5",
"Uranium silicide (U3Si2)","Silicides","1.5×10-4",
"Vanadium disilicide (VSi2)","Silicides","9.5×10-6",
"Vanadium silicide (V3Si)","Silicides","2.03×10-4",
"Zirconium disilicide (ZrSi2)","Silicides","1.61×10-4",
"Aluminum sesquioxide (Al2O3)","Oxides","2×1017",
"Calcium oxide (CaO)","Oxides","108",
"Cerium dioxide (CeO2)","Oxides","10000",
"Hafnium dioxide (HfO2)","Oxides","5×109",
"Niobium pentoxide (Nb2O5)","Oxides","5.5×106",
"Silicon dioxide (SiO2)","Oxides","1014",
"Tantalum pentoxide (Ta2O5)","Oxides","106",
"Thorium dioxide (ThO2)","Oxides","4×1013",
"Titanium dioxide (TiO2)","Oxides","1013",
"Uranium dioxide (UO2)","Oxides","38000",
"Zirconium dioxide (ZrO2)","Oxides","77",
