Material,Class,Resistivity,
Alumina (90 wt% Al2O3),Ceramic,1014,
Alumina (96 wt% Al2O3),Ceramic,1014,
Alumina (99.5 wt% Al2O3),Ceramic,1015,
Alumina (99.9 wt% Al2O3),Ceramic,1014,
Alumina (99.99 wt% Al2O3),Ceramic,1015,
Alumina porcelain,Ceramic,1014,
Bakelite (phenol formaldehyde resin),Polymer,1015,
Cellulose acetate,Thermoplastic,1013,
Cellulose triacetate,Thermoplastic,1015,
Cordierite (Mg2Al4Si5O18),Mineral,1014,
Corning® 0010,Glass,1017,
Corning® 0080,Glass,1012,
Corning® 0120,Glass,1017,
Ebonite,Polymer,1015,
Fluoroelastomer,Elastomer,1017,
Forsterite (Mg2SiO4),Mineral,1013,
Macor®,Glass,1016,
Marble (CaCO3),Rock,108 - 1010,
Mica, muscovite type (KAl2(Si3Al)O10(OH,F)2),Mineral,1011 - 1013,
Mica, phlogopite type (KMg3AlSi3O10(F,OH)2),Mineral,1012 - 1015,
Mullite (Al6Si2O13),Ceramic,1013,
Ozocerite (natural paraffins),Mineraloid,1014,
Polyester,Thermoplastic,1018,
Polyethylene,Thermoplastic,1016,
Polyimide,Thermoplastic,1018,
Polypropylene,Thermoplastic,1016,
Polytetrafluoroethylene,Thermoplastic,1018,
Polytrifluorochloroethylene,Thermoplastic,1018,
Polyurethane,Thermoset,1011,
Polyvinyl chloride,Thermoplastic,1014,
Polyvinyl fluoride,Thermoplastic,1013,
Polyvinylidene chloride,Thermoplastic,1016,
Polyvinylidene fluoride,Thermoplastic,1014,
Rutile (TiO2),Mineral,1014,
Silicon dioxide (SiO2),Ceramic,1014 - 1017,
Silicon nitride (Si3N4),Ceramic,1014,
Soapstone,Mineral,1013,
Steatite (talc),Ceramic,1013,
Vycor® (96 wt% SiO2, 3 wt% B2O3),Glass,1016,
Zirconium oxide (ZrO2),Ceramic,1015,
