Trade name,UNS number,Resistivity,
AM100A,M10100,15,
AM50A,M10500,13,
AM60A,M10600,12,
AM60B,M10602,12,
AZ31B,M11311,9.2,
AZ61A,M11610,12.5,
AZ63A,M11630,11.5,
AZ80A,M11800,14.5,
AZ81A,M11810,14.3,
AZ91A,M11910,17,
AZ91B,M11912,14.3,
AZ91C,M11914,15.2,
AZ91D,M11916,14,
AZ91E,M11919,14,
AZ92A,M11920,14,
EQ21A,M18330,6.85,
EZ33A,M12330,7,
HK31A,M13310,7.2,
HM21A,M13210,5.2,
HM31A,M13312,6.6,
HZ32A,M13320,6.5,
K1A,M18010,5.7,
M1A,M15100,5,
QE22A,M18220,6.85,
WE43A,M18430,14.8,
WE43B,M18432,14.8,
WE54A,M18410,17.3,
ZC63A,,5.4,
ZE41A,M16410,6,
ZE63A,M16630,5.6,
ZH62A,M16620,6.5,
ZK40A,M16400,6,
ZK51A,M16510,6,
ZK60A,M16600,6.2,
ZK61A,M16610,6,
