Trade name,UNS number,Resistivity,0,61,
Alloy 46,K94600,47,
Alloy 52,N14052,43,
Alloy 200,N02200,9.6,
Alloy 201,N02201,8.5,
Alloy 205,N02205,9.5,
Alloy 270,N02270,7.5,
HASTELLOY® B2,N10665,137,
HASTELLOY® B3,N10675,137,
HASTELLOY® C4,N06455,125,
HASTELLOY® C22,N06022,114,
HASTELLOY® C276,N10276,130,
HASTELLOY® C2000,N06200,128,
HASTELLOY® G3,N06985,108,
HASTELLOY® G30,N06030,116,
HASTELLOY® HX,N06920,11.6,
HASTELLOY® N,N10003,120,
HASTELLOY® S,N06635,128,
HASTELLOY® X,N06002,11.8,
HAYNES® 214,N07214,136,
HAYNES® 230,N06230,125,
HAYNES® 242,N10242,122,
HAYNES® 263,N07263,115,
HAYNES® 282,N07208,126,
HAYNES® 556,R30556,95.2,
HAYNES® HR-120,N08120,105,
HAYNES® HR-160,N12160,111,
INCOLOY® 800,N08800,98.9,
INCOLOY® 800HT,N08811,98.9,
INCOLOY® 825,N08825,113,
INCOLOY® 902,N09902,101,
INCOLOY® 903,N19903,61,
INCOLOY® 907,N19907,69.7,
INCOLOY® 909,N19909,72.8,
INCOLOY® 925,N09925,116.6,
INCONEL® 600,N06600,103,
INCONEL® 601,N06601,118,
INCONEL® 601GC,N06601,118,
INCONEL® 603XL,N06603,116,
INCONEL® 617,N06617,122,
INCONEL® 625,N06625,129,
INCONEL® 625LCF,N06626,129,
INCONEL® 686,N06686,123.7,
INCONEL® 690,N06690,114.8,
INCONEL® 693,N06693,117,
INCONEL® 718,N07718,125,
INCONEL® 718SPF,NO7718,125,
INCONEL® 725,N07725,114,
INCONEL® 740,N07740,117,
INCONEL® 751,N07751,122,
INCONEL® MA754,N07754,108,
INCONEL® MA758,,114,
INCONEL® X-750,N07750,122,
Invar® 36,K93601,80,
Invar® 42,K94100,61,
Invar® 48,K94800,47,
Invar® K,K94610,43,
MONEL® 400,N04400,51.1,
MONEL® 401,N04401,49.8,
MONEL® 404,N04404,49.8,
MONEL® K-500,N05500,61.8,
MONEL® R-405,N04405,51.2,
NIMONIC® 75,N06075,109,
NIMONIC® 80A,N07080,124,
NIMONIC® 81,N07081,127,
NIMONIC® 90,N07090,118,
NIMONIC® 105,N07105,131,
NIMONIC® 115,N07115,139,
NIMONIC® 263,N07263,115,
NIMONIC® 901,N09901,112,
NIMONIC® PE16,,110,
NIMONIC® PK33,,126,
NiSPAN-C® 902,N09902,51,
René® 41,N07041,130.8,
Udimet® 500,N07500,120.3,
