Name,Resistivity,
Acrylonitrile butadiene styrene (ABS),1015,
Cellulose acetate (CA),1012,
Cellulose nitrate (CN),1010 - 1011,
Chlorinated polyvinyl chloride (CPVC),1015,
Ethylene tetrafluoroethylene (ETFE),1017,
Fluorinated ethylene propylene (FEP),108,
Nylon 6 (PA6),5×1012,
Nylon 11 (PA11),1013,
Nylon 12 (PA12),1013,
Nylon 46 (PA46),1013,
Nylon 66 (PA66),1013,
Perfluorinated alkoxy (PFA),1018,
Phenol formaldehyde (PF),1012,
Polyamide-imide (PAI),1017,
Polyarylate resins (PAR),1012,
Polybenzeneimidazole (PBI),1013,
Polybutadiene (BR),1015,
Polycarbonate (PC),1016,
Polyether ether ketone (PEEK),1016,
Polyetherimide (PEI),1015,
Polyethersulfone (PESU),1017,
High-density polyethylene (HDPE),1015,
Low-density polyethylene (LDPE),1015,
Medium-density polyethylene (MDPE),1017,
Ultrahigh molecular weight polyethylene (UHMWPE),108,
Polyethylene naphthalate (PEN),1015,
Polyethylene terephthalate (PET),1014,
Polyhydroxybutyrate (PHB),1016,
Polyimide (PI),1018,
Polyisoprene (PIP),1015,
Polymethyl methacrylate (PMMA),1015,
Polymethylpentene (PMP),1016,
Polyoxymethylene (POM),1015,
Polyphenylene oxide (PPO),2×1017,
Polyphenylene sulfide (PPS),1014,
Polypropylene (PP atactic),1016,
Polypropylene (PP isotactic),1016,
Polypropylene (PP syndiotactic),1016,
High-impact polystyrene (HIPS),1016,
Polystyrene (PS),1016,
Polysulfide rubber (PSR),108,
Polysulfone (PSU),1016,
Polytetrafluoroethylene (PTFE),1018,
Polyurethane (PUR),1012,
Polyvinylidene chloride (PVDC),1012,
Polyvinylidene fluoride (PVDF),1014,
Polyvinyl fluoride (PVF),109,
Polyvinyl chloride (PVC),1016,
Styrene-butadiene rubber (SBR),1014,
