Metal,Resistivity (Ω·m) ×10,
),39,
Barium (Ba),34,
Beryllium (Be),3.7,
Bismuth (Bi),107,
Cadmium (Cd),6.8,
Calcium (Ca),3.42,
Cerium (Ce),82.8,
Cesium (Cs),20.8,
Chromium (Cr),12.6,
Cobalt (Co),5.6,
Copper (Cu),1.71,
Dysprosium (Dy),92.6,
Erbium (Er),86,
Europium (Eu),90,
Gadolinium (Gd),131,
Gallium (Ga),13.6,
Gold (Au),2.26,
Hafnium (Hf),33.7,
Holmium (Ho),81.4,
Indium (In),8,
Iridium (Ir),4.7,
Iron (Fe),9.87,
Lanthanum (La),61.5,
Lead (Pb),21.1,
Lithium (Li),9.47,
Lutetium (Lu),58.2,
Magnesium (Mg),4.48,
Manganese (Mn),144,
Mercury (Hg),96.1,
Molybdenum (Mo),5.47,
Neodymium (Nd),64.3,
Nickel (Ni),7.12,
Niobium (Nb),15.2,
Osmium (Os),8.1,
Palladium (Pd),10.73,
Platinum (Pt),10.7,
Polonium (Po),40,
Potassium (K),7.39,
Praseodymium (Pr),70,
Promethium (Pm),75,
Protactinium (Pa),17.7,
Rhenium (Re),17.2,
Rhodium (Rh),4.3,
Rubidium (Rb),13.1,
Ruthenium (Ru),7.1,
Samarium (Sm),94,
Scandium (Sc),56.2,
Silver (Ag),1.617,
Sodium (Na),4.88,
Strontium (Sr),13.4,
Tantalum (Ta),13.4,
Terbium (Tb),115,
Thallium (Tl),15,
Thorium (Th),14.7,
Thulium (Tm),67.6,
Tin (Sn),11.5,
Titanium (Ti),39,
Tungsten (W),5.39,
Uranium (U),28,
Vanadium (V),20.1,
Ytterbium (Yb),25,
Yttrium (Y),59.6,
Zinc (Zn),6.01,
Zirconium (Zr),42.9,
