Trade name,UNS number,Resistivity,
"Grade 1","R50250","4.2",
"Grade 2","R50400","5.2",
"Grade 3","R50550","5.4",
"Grade 4","R50700","6",
"Grade 5","R56400","17",
"Grade 6","R54520","16",
"Grade 7","R52400","5.5",
"Grade 9","R56320","12.7",
"Grade 10","R58030","15.6",
"Grade 11","R52250","5.5",
"Grade 12","R53400","5.2",
"Grade 16","R52402","5.6",
"Grade 17","R52252","5.6",
"Grade 18","R56322","12.4",
"Grade 21","R58210","13.5",
"Grade 23","R56401","17.8",
"Grade 32","R55111","15.3",
"Timetal® 1100","","17.9",
"Timetal® 21S","R58210","13.5",
"Timetal® 551","","17",
"Timetal® 621","R56210","16",
"Timetal® 6-2-4-2","R54620","19",
"Timetal® 6-2-4-6","R56260","19",
"Timetal® 62S","","16.3",
"Timetal® 679","","16",
"Timetal® 685","","16.7",
"Timetal® 8-1-1","R54810","19.8",
"Timetal® 230","","6.5",
