Trade name,UNS number,Elongation (%),2,
Alloy 42,N94100,43,
Alloy 46,K94600,30,
Alloy 52,N14052,30,
Alloy 188,R30188,55,
Alloy 200,N02200,45,
Alloy 201,N02201,50,
Alloy 205,N02205,45,
Alloy 270,N02270,50,
Alloy 400,N04400,30 - 45,
Alloy 405,N04405,40,
Alloy C263,N07263,45,
HASTELLOY® B2,N10665,50,
HASTELLOY® B3,N10675,50,
HASTELLOY® C4,N06455,52,
HASTELLOY® C22,N06022,60,
HASTELLOY® C276,N10276,56,
HASTELLOY® C2000,N06200,60,
HASTELLOY® G3,N06985,40 - 50,
HASTELLOY® G30,N06030,56 - 65,
HASTELLOY® HX,N06920,46,
HASTELLOY® N,N10003,50,
HASTELLOY® S,N06635,49,
HASTELLOY® X,N06002,43,
HAYNES® 214,N07214,37,
HAYNES® 230,N06230,48,
HAYNES® 242,N10242,34,
HAYNES® 263,N07263,36,
HAYNES® 282,N07208,59,
HAYNES® 556,R30556,47,
HAYNES® HR-120,N08120,50,
HAYNES® HR-160,N12160,68,
INCOLOY® 800,N08800,40 - 45,
INCOLOY® 800HT,N08811,45,
INCOLOY® 825,N08825,45,
INCOLOY® 902,N09902,25,
INCOLOY® 903,N19903,14,
INCOLOY® 907,N19907,14,
INCOLOY® 909,N19909,15,
INCOLOY® 925,N09925,24,
INCONEL® 600,N06600,35 - 55,
INCONEL® 601,N06601,40 - 70,
INCONEL® 601GC,N06601,35 - 55,
INCONEL® 603XL,N06603,50,
INCONEL® 617,N06617,56 - 62,
INCONEL® 625,N06625,42,
INCONEL® 625LCF,N06626,40,
INCONEL® 686,N06686,60,
INCONEL® 690,N06690,39 - 52,
INCONEL® 693,N06693,45,
INCONEL® 718,N07718,20,
INCONEL® 718SPF,NO7718,31,
INCONEL® 725,N07725,30 - 60,
INCONEL® 740,N07740,58,
INCONEL® 751,N07751,18 - 26,
INCONEL® 783,R30783,24,
INCONEL® MA754,N07754,20,
INCONEL® MA758,,27,
INCONEL® X-750,N07750,20,
Invar® 36,K93601,30 - 45,
Invar® 42,K94100,32,
Invar® 48,K94800,43,
Invar® K,K94610,42,
MONEL® 400,N04400,35 - 60,
MONEL® 401,N04401,51,
MONEL® 404,N04404,50,
MONEL® K-500,N05500,25 - 30,
MONEL® R-405,N04405,35 - 50,
NIMONIC® 75,N06075,40,
NIMONIC® 80A,N07080,30,
NIMONIC® 81,N07081,38,
NIMONIC® 90,N07090,30,
NIMONIC® 91,,31.2,
NIMONIC® 105,N07105,22,
NIMONIC® 115,N07115,27,
NIMONIC® 263,N07263,39,
NIMONIC® 901,N09901,15,
NIMONIC® PE11,,20,
NIMONIC® PE16,,37,
NIMONIC® PK33,,30,
NiSPAN-C® 902,N09902,30,
René® 41,N07041,14,
René® 95,,15,
Udimet® 500,N07500,32,
Udimet® 520,,20,
Udimet® 700,N07700,17,
Udimet® 720,,9,
