Trade name,UNS number,Composition,Elongation (%),50550,,18,
Grade 4,R50700,,15,
Grade 5,R56400,Ti-6Al-4V,10 - 18,
Grade 6,R54520,Ti-5Al-2.5Sn,10 - 16,
Grade 7,R52400,Ti-0.2Pd,20 - 28,
Grade 9,R56320,Ti-3Al-2.5V,15 - 17,
Grade 10,R58030,Ti-11.5Mo-6Zr-4.5Sn,5,
Grade 11,R52250,Ti-0.2Pd,24 - 37,
Grade 12,R53400,Ti-0.3Mo-0.8Ni,18 - 22,
Grade 13,R53413,Ti-0.5Ni-0.05Ru,24,
Grade 14,R53414,Ti-0.5Ni-0.05Ru,20,
Grade 15,R53415,Ti-0.5Ni-0.05Ru,18,
Grade 16,R52402,Ti-0.06Pd,20 - 28,
Grade 17,R52252,Ti-0.06Pd,24 - 37,
Grade 18,R56322,Ti-3Al-2.5V-0.06Pd,15 - 17,
Grade 19,R58153,Ti-8V-6Cr-4Mo-4Zr-3Al,15,
Grade 20,R58645,Ti-8V-6Cr-4Zr-4Mo-3Al-0.05Pd,6 - 10,
Grade 21,R58210,Ti-15Mo-3Al-2.7Nb-0.25Si,15,
Grade 23,R56401,Ti-6Al-4V (ELI),15,
Grade 24,R56405,Ti-6Al-4V-0.06Pd,10,
Grade 25,R56403,Ti-6Al-4V-0.5Ni-0.06Pd,10,
Grade 26,R52404,Ti-0.1Ru,20,
Grade 27,R52254,Ti-0.1Ru,24,
Grade 28,R56323,Ti-3Al-2.5V-0.5Ru,15,
Grade 29,R56404,Ti-6Al-4V-0.1Ru,10,
Grade 30,R53530,,23,
Grade 31,R53532,,20,
Grade 32,R55111,Ti-5Al-1Sn-1Zr-1V-0.8Mo,11,
Grade 33,R53442,,23,
Grade 34,R53445,,20,
Grade 36,R58450,Ti-45Nb,21 - 23,
Grade 37,R52815,,22,
Grade 38,R54250,,11,
Timetal® 17,R58650,Ti-5Al-2Sn-4Mo-2Zr-4Cr,7 - 10,
Timetal® 10-2-3,R56410,Ti-10V-2Fe-3Al,8 - 15,
Timetal® 1100,,Ti-6Al-4Zr-2.7Sn-0.4Mo-0.45Si,6,
Timetal® 15-3,R58153,Ti-15V-3Al-3Sn-3Cr,5 - 7,
Timetal® 21S,R58210,Ti-15Mo-3Nb-3Al-0.2Si,12,
Timetal® 367,R56700,Ti-6Al-7Nb,10,
Timetal® 550,,Ti-4Al-4Mo-2Sn-0.5Si,9 - 14,
Timetal® 551,,Ti-4Al-4Mo-4Sn-0.5Si,8 - 12,
Timetal® 6-2-4-2,R54620,Ti-6Al-2Sn-4Z r-2Mo,8 - 18,
Timetal® 6-2-4-6,R56260,Ti-6Al-2Sn-4Zr-6Mo,6 - 10,
Timetal® 62S,,Ti-6Al-2Fe-0.1Si,16 - 18,
Timetal® 6-6-2,R56620,Ti-6Al-6V-2Sn,8 - 17,
Timetal® 679,,Ti-11Sn-5Zr-2.25Al-1Mo-0.2Si,8,
Timetal® 685,,Ti-6Al-5Zr-0.5Mo-0.25Si,6 - 12,
Timetal® 8-1-1,R54810,Ti-8Al-1Mo-1V,10,
Timetal® 8-2-9,,Ti-5.5Al-3.5Sn-3Zr-1Nb-0.25Mo-0.3Si,10,
Timetal® 834,,Ti-5.8Al-4Sn-3.5Zr-0.7Nb-0.5Mo-0.35Si-0.06C,6,
Timetal® 230,,Ti-2.5Cu,20 - 25,
