Name,UNS number,Composition,Elongation (%),
AC41A (Zamak 5),Z35531,Zn-4Al-1Cu-0.05Mg,7,
AC43A (Zamak 2),Z35541,Zn-4Al-2.5Cu-0.04Mg,7,
AG40A (Zamak 3),Z33520,Zn-4Al-0.04Mg,10,
AG40B (Zamak 7),Z33523,Zn-4Al-0.015Mg,13,
Copper-hardened rolled zinc,Z44330,Zn-1.0Cu,35 - 50,
ILZRO 16,,Zn-1.25Cu-0.2Ti-0.15Cr,6,
Korloy 2684,,Zn-22Al,25 - 27,
Rolled zinc,Z21210,Zn-0.08Pb,50 - 65,
Rolled zinc,Z21220,Zn-0.06Pb-0.06Cd,32 - 50,
Rolled zinc,Z21540,Zn-0.3Pb-0.03Cd,32 - 50,
Rolled zinc alloy,Z45330,Zn-1.0Cu-0.01Mg,10 - 20,
Sluch casting alloy A,Z34510,Zn-4.75Al-0.25Cu,1.0,
Sluch casting alloy B,Z30500,Zn-5.5Al,1.0,
