Name,Flash point (closed cup),
Methanol (CH4O),11,
Ethanol (C2H6O),13,
Propanol (C3H8O),22,
Butanol (C4H10O),37,
Pentanol (C5H12O),33,
Hexanol (C6H14O),63,
Heptanol (C7H16O),70,
Octanol (C8H18O),81,
Nonanol (C9H20O),74,
Decanol (C10H22O),108,
Undecanol (C11H24O),93,
Dodecanol (C12H26O),127,
Tridecanol (C13H28O),121,
Tetradecanol (C14H30O),141,
Pentadecanol (C15H32O),112,
Hexadecanol (C16H34O),175,
Heptadecanol (C17H36O),154,
Octadecanol (C18H38O),200,
Eicosanol (C20H42O),195,
Docosanol (C22H46O),195,
