Name,Flash point,
Dimethyl Ether (C2H6O),-41 (cc),
Diethyl Ether (C4H10O),-45 (cc),
Methoxypropane (C4H10O),< -20 (cc),
Ethyl Propyl Ether (C5H12O),< -20 (cc),
Methyl tert-butyl ether (C5H12O),-28 (cc),
Tetrahydrofuran (C4H8O),-14 (cc),
Dioxane (C4H8O2),12 (cc),
Anisole (C7H8O),52 (oc),
Dipropyl ether (C6H14O),21 (cc),
Dibutyl ether (C8H18O),25 (cc),
Dioctyl ether (C16H34O),> 100 (cc),
Methoxyethane (C3H8O),-37 (cc),
1,2-Dimethoxyethane (C4H10O2),-2 (cc),
Vinyl ether (C4H6O),-30 (cc),
Phenetole (C8H10O),63 (oc),
Diphenyl ether (C12H10O),115 (cc),
Tetrahydropyran (C5H10O),-20 (cc),
