Liquid,Flash point,
Acetaldehyde,-39,
Acetic acid,39,
Acetic anhydride,49,
Acetone,-20,
Acetonitrile,6,
Acrylic acid,50,
Anisole,52,
Benzene,-11,
Benzyl alcohol,93,
Butanal,-22,
1-Butanol,37,
Butyl acetate,22,
Chlorobenzene,28,
Cyclohexane,-20,
Cyclohexanone,44,
Cyclopentane,-25,
Decane,51,
Diethyl ether,-45,
Dimethyl sulfoxide,95,
Dodecane,74,
Ethanol,13,
Ethyl acetate,-4,
Ethylbenzene,21,
Ethylene glycol,111,
Ethylene oxide,-20,
Formic acid,50,
Glycerol,199,
Heptane,-4,
Hexadecane,135,
Hexane,-22,
Isobutanol,-18,
Isopropyl alcohol,12,
Limonene,45,
Methanol,11,
Methyl acetate,-10,
Methyl isobutyl ketone,18,
Octane,13,
Oleic acid,189,
Pentane,-40,
Phenol,79,
Propanoic acid,52,
Propylene carbonate,135,
Propylene glycol,99,
Propylene oxide,-37,
Styrene,31,
Sulfolane,177,
Toluene,4,
Trichloroethylene,32,
Triethanolamine,179,
Triethylamine,-7,
Triethylene glycol,177,
Vinyl acetate,-8,
m-Xylene,27,
o-Xylene,32,
p-Xylene,27,
