Name,Glass transition temperature,
"Acrylonitrile butadiene-styrene (ABS)","105",
"Butyl rubber (IIR)","-60",
"Cellulose acetate (CA)","100 - 130",
"Cellulose acetate butyrate (CAB)","80 - 120",
"Chlorinated polyvinyl chloride (CPVC)","100 - 110",
"Natural rubber","-70",
"Nylon 6 (PA6)","55",
"Nylon 11 (PA11)","35 - 45",
"Nylon 12 (PA12)","35 - 45",
"Nylon 66 (PA66)","55",
"Perfluorinated alkoxy (PFA)","90",
"Polyamide-imide (PAI)","280",
"Polyarylate (PAR)","190",
"Polybutylene terephthalate (PBT)","55 - 65",
"Polycarbonate (PC)","145",
"Polyether ether ketone (PEEK)","140",
"Polyetherimide (PEI)","215",
"Polyethersulfone (PESU)","210 - 230",
"High-density polyethylene (HDPE)","-120",
"Low-density polyethylene (LDPE)","-110",
"Medium-density polyethylene (MDPE)","-120",
"Polyethylene terephthalate (PET)","70",
"Polyhydroxybutyrate (PHB)","15",
"Polyimide (PI)","280 - 330",
"Polylactic acid (PLA)","60 - 65",
"Polymethyl methacrylate (PMMA)","105",
"Polymethylpentene (PMP)","30",
"Polyoxymethylene (POM)","-55",
"Polyphenylene oxide (PPO)","85",
"Polyphenylene sulfide (PPS)","85",
"Polypropylene (PP atactic)","-20",
"Polypropylene (PP isotactic)","0",
"Polypropylene (PP syndiotactic)","-10",
"High-impact polystyrene (HIPS)","100",
"Polystyrene (PS)","95",
"Polysulfone (PSU)","190",
"Polytetrafluoroethylene (PTFE)","115",
"Polytrifluorochloroethylene (PTFCE)","45",
"Polyvinyl acetate (PVA)","30",
"Polyvinyl alcohol (PVAL)","85",
"Polyvinylidene chloride (PVDC)","-15",
"Polyvinylidene fluoride (PVDF)","-35",
"Polyvinyl fluoride (PVF)","-20",
"Polyvinyl chloride (PVC)","80",
