Alloy,UNS number,Composition,Brinell hardness (HB),
"AM100A F","M10100","Mg-9.5Al-0.3Zn","53",
"AS41A F","M10410","Mg-4Al-1Si-0.35Mn","63",
"AS41XB F","","Mg-4Al-1Si-0.35Mn","63",
"AZ31B T1","M11312","Mg-3Al-1Zn","46 - 73",
"AZ61A F","M11610","Mg-6Al-1Zn","50 - 60",
"AZ63 T1","M11630","Mg-6Al-3Zn-0.3Si","50",
"AZ80A T4","M11800","Mg-8Al-0.5Zn","67 - 80",
"AZ81A T1","M11810","Mg-8Al-0.5Zn","55",
"AZ91A F","M11910","Mg-9Al-1Zn-0.1Mn","60 - 63",
"AZ91C T6","M11914","Mg-9Al-1Zn-0.1Mn","62 - 77",
"AZ92A T6","M11920","Mg-9Al-2Zn-0.3Si","81",
"EQ21 T6","M16330","Mg-1.5Ag-2Re","65 - 85",
"EZ33A T5","M12330","Mg-3Re-2.5Zn-0.6Zr","50",
"HK31A T6","M13310","Mg-3Th-0.6Zr-0.3Zn","55",
"HZ32A T5","M13320","Mg-2Zn-3Th-1Zr","55",
"M1A","M15100","Mg-1Mn-0.3Cr","42 - 54",
"QE22A T6","M18220","Mg-2.5Ag-2Re-0.6Zr","65 - 85",
"WE43 T6","M18430","Mg-4Y-3.4Re-0.6Zr","75 - 95",
"WE54 T6","M18410","Mg-5.1Y-3Re-0.6Zr","75 - 95",
"ZC63 T6","M16631","Mg-5.5Zn-2.5Cu-0.5Mn","55 - 65",
"ZE41A T5","M16410","Mg-4.5Zn-1.5Re","62",
"ZE63A T6","M16630","Mg-6Zn-2.5Re","60 - 85",
"ZH62A T5","M16620","Mg-5.5Zn-2Th-0.65Zr","70",
"ZK51A T5","M16510","Mg-4.5Zn-0.45Zr","62",
"ZK60A T5","M16600","Mg-5.5Zn-0.45Zr","65 - 82",
