Trade name,UNS number,Brinell Hardness (HB),0001,100 - 230,
HASTELLOY® B2,N10665,235,
HASTELLOY® C4,N06455,184,
HASTELLOY® C22,N06022,209,
HASTELLOY® C276,N10276,185,
HASTELLOY® C2000,N06200,290,
HASTELLOY® G3,N06985,184,
HASTELLOY® HX,N06920,184,
HASTELLOY® S,N06635,168,
HASTELLOY® X,N06002,150 - 280,
HAYNES® 230,N06230,200,
HAYNES® 242,N10242,257,
HAYNES® 556,R30556,91,
INCOLOY® 800,N08800,138 - 180,
INCOLOY® 800HT,N08811,138 - 180,
INCOLOY® 825,N08825,150,
INCOLOY® 902,N09902,300,
INCOLOY® 925,N09925,315,
INCONEL® 600,N06600,120 - 150,
INCONEL® 601,N06601,110 - 150,
INCONEL® 617,N06617,173,
INCONEL® 625,N06625,186,
INCONEL® 690,N06690,175,
INCONEL® 718,N07718,331,
INCONEL® 751,N07751,173 - 352,
INCONEL® X-750,N07750,382,
Invar® 36,K93601,160,
Invar® 42,K94100,160,
MONEL® 400,N04400,110 - 150,
MONEL® 401,N04401,43,
MONEL® 404,N04404,44,
MONEL® K-500,N05500,290 - 300,
MONEL® R-405,N04405,110 - 140,
NIMONIC® 75,N06075,170,
NIMONIC® 80A,N07080,370,
NIMONIC® 90,N07090,380,
NIMONIC® 105,N07105,380,
NIMONIC® 115,N07115,400,
NIMONIC® 263,N07263,320,
NIMONIC® PE16,,280,
