Aluminum alloy,Brinell hardness (HB),
"1050-O","21",
"1050-H14","30",
"1050-H16","35",
"1050-H18","43",
"1060-O","19",
"1060-H12","23",
"1060-H14","26",
"1060-H16","30",
"1060-H18","35",
"1100-O","23",
"1100-H12","28",
"1100-H14","32",
"1100-H16","38",
"1100-H18","44",
"1199-H18","28",
"1350-O","23",
"1350-H12","26",
"1350-H14","30",
"1350-H16","34",
"1350-H19","50",
"2011-T3","95",
"2011-T8","100",
"2014-O","45",
"2014-T4","105",
"2014-T6","135",
"2017-O","45",
"2017-T4","110",
"2024-O","47",
"2024-T3","120",
"2024-T4","120",
"2024-T6","125",
"2036-T4","95",
"2048","122",
"2219-O","46",
"2219-T62","115",
"2618","115",
"3003-O","28",
"3003-H12","35",
"3003-H14","40",
"3003-H16","47",
"3003-H18","55",
"3004-O","45",
"3004-H32","52",
"3004-H34","63",
"3004-H36","70",
"3004-H38","77",
"3105-O","31",
"3105-H12","41",
"3105-H14","46",
"3105-H16","53",
"3105-H18","58",
"4032-T6","120",
"4043-O","39",
"4043-H18","77",
"5005-O","28",
"5005-H12","38",
"5005-H14","43",
"5005-H16","49",
"5005-H18","54",
"5005-H32","36",
"5005-H34","41",
"5005-H36","46",
"5005-H38","51",
"5050-O","36",
"5050-H32","46",
"5050-H34","53",
"5050-H36","58",
"5050-H38","63",
"5052-O","47",
"5052-H32","60",
"5052-H34","68",
"5052-H36","73",
"5052-H38","77",
"5056-O","65",
"5056-H18","105",
"5056-H38","100",
"5083-O","77",
"5086-O","70",
"5154-O","58",
"5154-H32","67",
"5154-H34","73",
"5154-H36","78",
"5154-H38","80",
"5254-O","58",
"5254-H32","67",
"5254-H34","73",
"5254-H36","78",
"5254-H38","80",
"5454-O","62",
"5454-H32","73",
"5454-H34","81",
"5456-O","83",
"5652-O","47",
"5652-H32","60",
"5652-H34","68",
"5652-H36","73",
"5652-H38","77",
"6005-T1","46",
"6005-T5","95",
"6010-T4","76",
"6061-O","30",
"6061-T4","65",
"6061-T6","95",
"6063-O","25",
"6063-T1","42",
"6063-T4","46",
"6063-T5","60",
"6063-T6","73",
"6066-O","43",
"6066-T4","90",
"6066-T6","120",
"6070-O","35",
"6070-T4","90",
"6070-T6","120",
"6205-T1","65",
"6205-T5","95",
"6351-T4","67",
"6351-T6","95",
"6463-T1","42",
"6463-T5","60",
"6463-T6","74",
"7005-O","53",
"7072-O","20",
"7072-H12","28",
"7072-H14","32",
"7075-O","60",
"7075-T6","150",
"7178-T6","160",
