Name,Class,Thermal expansion,
,Borides,6.2 - 7.5,
Chromium monoboride (CrB),Borides,12.3,
,Borides,6.3 - 7.6,
,Borides,8.6,
,Borides,7.7,
,Borides,8.0 - 8.6,
Niobium boride (NbB),Borides,12.9,
,Borides,8.2 - 8.8,
,Borides,7.8,
,Borides,7.9,
,Borides,7.6 - 8.64,
,Borides,6.7,
Tungsten boride (WB),Borides,6.9,
,Borides,9.0,
,Borides,4.6,
,Borides,7.6 - 8.3,
,Borides,5.5 - 8.3,
,Carbides,10.5,
,Carbides,2.6 - 5.6,
,Carbides,10.3,
Diamond (C),Carbides,2.16,
Graphite (C),Carbides,0.6 - 4.3,
Hafnium carbide (HfC),Carbides,6.3,
Molybdenum carbide (MoC),Carbides,5.76,
Niobium carbide (NbC),Carbides,6.84,
Silicon carbide (α-SiC),Carbides,4.3 - 4.6,
Silicon carbide (β-SiC),Carbides,4.5,
Tantalum carbide (TaC),Carbides,6.64 - 8.4,
Thorium carbide (ThC),Carbides,6.48,
Titanium carbide (TiC),Carbides,7.5 - 7.7,
Tungsten carbide (WC),Carbides,6.9,
,Carbides,3.84,
Uranium carbide (UC),Carbides,11.4,
,Carbides,14.6,
Vanadium carbide (VC),Carbides,4.9,
Zirconium carbide (ZrC),Carbides,6.8,
Aluminum nitride (AlN),Nitrides,5.3,
Boron nitride (BN),Nitrides,7.54,
Chromium nitride (CrN),Nitrides,2.34,
Hafnium nitride (HfN),Nitrides,6.5,
Niobium nitride (NbN),Nitrides,10.1,
,Nitrides,2.5,
Tantalum nitride (TaN),Nitrides,3.2,
Titanium nitride (TiN),Nitrides,9.35,
Vanadium nitride (VN),Nitrides,8.1,
Zirconium nitride (ZrN),Nitrides,7.24,
,Silicides,13.0,
,Silicides,10.5,
,Silicides,8.12,
,Silicides,8.8 - 9.54,
,Silicides,10.4,
,Silicides,8.28,
,Silicides,14.8,
,Silicides,11.2,
,Silicides,8.0,
,Silicides,8.6,
,Oxides,7.1 - 8.3,
Beryllium oxide (BeO),Oxides,7.5 - 9.7,
Calcium oxide (CaO),Oxides,3.88,
,Oxides,10.6,
,Oxides,10.9,
,Oxides,7.74,
,Oxides,7,
,Oxides,10.44,
,Oxides,5.85,
,Oxides,11.9,
Magnesium oxide (MgO),Oxides,11.52,
,Oxides,10.3,
,Oxides,0.55,
,Oxides,9.54,
,Oxides,7.14,
Titanium monoxide (TiO),Oxides,9.19,
,Oxides,11.2,
,Oxides,8.1,
