Trade name,UNS number,Thermal expansion,
Alloy 20,N08020,14.7,
Alloy 36,K93600,1.5,
Alloy 42,N94100,5.3,
Alloy 52,N14052,9.8,
Alloy 188,R30188,11.9,
Alloy 200,N02200,13.3,
Alloy 201,N02201,13.1,
Alloy 205,N02205,13.3,
Alloy 270,N02270,13.3,
Alloy 405,N04405,13.7,
Alloy C263,N07263,12.06,
HASTELLOY® B,N10001,10.3,
HASTELLOY® B2,N10665,10.3,
HASTELLOY® B3,N10675,10.6,
HASTELLOY® C4,N06455,10.8,
HASTELLOY® C22,N06022,12.4,
HASTELLOY® C276,N10276,11.2,
HASTELLOY® C2000,N06200,12.4,
HASTELLOY® G3,N06985,12.2,
HASTELLOY® G30,N06030,12.8,
HASTELLOY® HX,N06920,13.3,
HASTELLOY® N,N10003,11.6,
HASTELLOY® S,N06635,11.5,
HASTELLOY® X,N06002,13.9,
HAYNES® 214,N07214,13.3,
HAYNES® 230,N06230,12.7,
HAYNES® 242,N10242,10.8,
HAYNES® 263,N07263,11.1,
HAYNES® 282,N07208,13.5,
HAYNES® 556,R30556,14.6,
HAYNES® HR-120,N08120,14.3,
HAYNES® HR-160,N12160,13,
INCOLOY® 800,N08800,14.4,
INCOLOY® 800HT,N08811,14.4,
INCOLOY® 825,N08825,14,
INCOLOY® 902,N09902,7.6,
INCOLOY® 903,N19903,7.65,
INCOLOY® 907,N19907,7.7,
INCOLOY® 909,N19909,7.7,
INCOLOY® 925,N09925,13.2,
INCONEL® 600,N06600,13.3,
INCONEL® 601,N06601,13.75,
INCONEL® 601GC,N06601,14,
INCONEL® 603XL,N06603,12.87,
INCONEL® 617,N06617,11.6,
INCONEL® 625,N06625,12.8,
INCONEL® 625LCF,N06626,12.8,
INCONEL® 686,N06686,11.97,
INCONEL® 690,N06690,14.1,
INCONEL® 693,N06693,13.04,
INCONEL® 718,N07718,13,
INCONEL® 718SPF,NO7718,12.2,
INCONEL® 725,N07725,13,
INCONEL® 740,N07740,12.38,
INCONEL® 751,N07751,12.6,
INCONEL® 783,R30783,10.1,
INCONEL® MA754,N07754,12.5,
INCONEL® MA758,,12.47,
INCONEL® X-750,N07750,12.6,
Invar® 36,K93601,1.5,
Invar® 42,K94100,5.3,
Invar® 48,K94800,8.5,
Invar® K,K94610,6,
MONEL® 400,N04400,14.2,
MONEL® 401,N04401,13.7,
MONEL® 404,N04404,13.6,
MONEL® K-500,N05500,13.7,
MONEL® R-405,N04405,14.2,
NIMONIC® 75,N06075,11,
NIMONIC® 80A,N07080,12.7,
NIMONIC® 81,N07081,11.1,
NIMONIC® 90,N07090,12.7,
NIMONIC® 105,N07105,12.2,
NIMONIC® 115,N07115,12,
NIMONIC® 263,N07263,11.1,
NIMONIC® 901,N09901,13.5,
NIMONIC® PE16,,11.8,
NIMONIC® PK33,,10.6,
NiSPAN-C® 902,N09902,7.6,
René® 41,N07041,13.6,
Udimet® 720,,6.8,
