Name,Thermal expansion,
"Acrylonitrile butadiene-styrene (ABS)","53 - 110",
"Casein formaldehyde (GAT)","50",
"Cellulose acetate (CA)","80 - 180",
"Cellulose acetate butyrate (CAB)","140",
"Cellulose acetate propionate (CAP)","120 - 160",
"Cellulose nitrate (CN)","65 - 160",
"Chlorinated polyvinyl chloride (CPVC)","68 - 78",
"Ethylene tetrafluoroethylene (ETFE)","90",
"Ethylene chlorotrifluoroethylene (ECTFE)","80",
"Fluorinated ethylene propylene (FEP)","135",
"Melamine formaldehyde (MF)","22",
"Nylon 6 (PA6)","45",
"Nylon 11 (PA11)","125",
"Nylon 12 (PA12)","100 - 120",
"Nylon 46 (PA46)","25 - 50",
"Nylon 66 (PA66)","40",
"Nylon 612 (PA612)","120 - 130",
"Phenol formaldehyde (PF)","16",
"Polyarylate resins (PAR)","50 - 72",
"Polybenzeneimidazole (PBI)","23",
"Polybutylene terephthalate (PBT)","45",
"Polybutylene (PB)","13",
"Polycarbonate (PC)","38 - 70",
"Polyether ether ketone (PEEK)","26 - 108",
"Polyetherimide (PEI)","31 - 56",
"Polyethersulfone (PESU)","55",
"High-density polyethylene (HDPE)","100 - 200",
"Low-density polyethylene (LDPE)","100 - 200",
"Medium-density polyethylene (MDPE)","100 - 200",
"Ultrahigh molecular weight polyethylene (UHMWPE)","130 - 200",
"Polyethylene naphthalate (PEN)","20 - 21",
"Polyethylene terephthalate (PET)","15 - 65",
"Polyimide (PI)","30 - 60",
"Polymethyl methacrylate (PMMA)","34 - 77",
"Polymethylpentene (PMP)","117",
"Polyoxymethylene (POM)","85",
"Polyphenylene oxide (PPO)","38 - 60",
"Polyphenylene sulfide (PPS)","30 - 49",
"Polypropylene (PP atactic)","68 - 95",
"Polypropylene (PP isotactic)","81 - 100",
"Polypropylene (PP syndiotactic)","60 - 90",
"High-impact polystyrene (HIPS)","90",
"Polysulfone (PSU)","31 - 51",
"Polytetrafluoroethylene (PTFE)","100 - 160",
"Polytrifluorochloroethylene (PTFCE)","126 - 216",
"Polyurethane (PUR)","100 - 200",
"Polyvinyl acetate (PVA)","100 - 200",
"Polyvinylidene chloride (PVDC)","190",
"Polyvinylidene fluoride (PVDF)","80 - 140",
"Polyvinyl fluoride (PVF)","50",
"Polyvinyl chloride (PVC)","60 - 70",
"Unsaturated polyester (UP)","16",
"Urea-formaldehyde (UF)","22 - 96",
