Semiconductor,Crystal structure,Type,Thermal expansion,,Sphalerite,III-V,4.2,
C,Diamond,IV-IV,1.18,
CdS,Sphalerite,II-VI,4.7,
CdSe,Sphalerite,II-VI,3.8,
CdTe,Sphalerite,II-VI,4.9,
CuBr,Sphalerite,I-VII,15.4,
CuCl,Sphalerite,I-VII,12.1,
Cul,Sphalerite,I-VII,19.2,
GaAs,Sphalerite,III-V,5.4,
GaP,Sphalerite,III-V,5.3,
GaSb,Sphalerite,III-V,6.1,
Ge,Diamond,IV-IV,5.8,
HgSe,Sphalerite,II-VI,5.46,
HgTe,Sphalerite,II-VI,4.6,
InAs,Sphalerite,III-V,4.7,
InP,Sphalerite,III-V,4.6,
InSb,Sphalerite,III-V,4.7,
Si,Diamond,IV-IV,2.49,
Te,y-Se,VI-VI,18.2,
ZnO,Sphalerite,II-VI,2.9,
ZnS,Sphalerite,II-VI,6.36,
ZnSe,Sphalerite,II-VI,7.2,
ZnTe,Sphalerite,II-VI,8.19,
