Trade name,UNS number,Composition,Thermal expansion,
550,,8.6,
Grade 4,R50700,,8.6,
Grade 5,R56400,Ti-6Al-4V,8.6,
Grade 6,R54520,Ti-5Al-2.5Sn,9.4,
Grade 7,R52400,Ti-0.2Pd,8.6,
Grade 9,R56320,Ti-3Al-2.5V,9.61,
Grade 10,R58030,Ti-11.5Mo-6Zr-4.5Sn,7.6,
Grade 11,R52250,Ti-0.2Pd,8.6,
Grade 12,R53400,Ti-0.3Mo-0.8Ni,8.6,
Grade 16,R52402,Ti-0.06Pd,8.6,
Grade 17,R52252,Ti-0.06Pd,8.6,
Grade 19,R58153,Ti-8V-6Cr-4Mo-4Zr-3Al,8.3,
Grade 21,R58210,Ti-15Mo-3Al-2.7Nb-0.25Si,7.07,
Grade 23,R56401,Ti-6Al-4V (ELI),8.6,
Grade 30,R53530,,8.7,
Grade 31,R53532,,8.7,
Grade 32,R55111,Ti-5Al-1Sn-1Zr-1V-0.8Mo,8.2,
Grade 33,R53442,,8.7,
Grade 35,R56340,,9.3,
Grade 36,R58450,Ti-45Nb,9.03,
Grade 37,R52815,,8.9,
Grade 38,R54250,,9.3,
Timetal® 10-2-3,R56410,Ti-10V-2Fe-3Al,9.7,
Timetal® 21S,R58210,Ti-15Mo-3Nb-3Al-0.2Si,7.07,
Timetal® 6-2-4-2,R54620,Ti-6Al-2Sn-4Z r-2Mo,9.9,
Timetal® 6-6-2,R56620,Ti-6Al-6V-2Sn,9,
Timetal® 230,,Ti-2.5Cu,9,
