Name,UNS number,Composition,Expansion,
ak 5),Z35531,Zn-4Al-1Cu-0.05Mg,27.4,
AC43A (Zamak 2),Z35541,Zn-4Al-2.5Cu-0.04Mg,27.8,
AG40A (Zamak 3),Z33520,Zn-4Al-0.04Mg,27.4,
AG40B (Zamak 7),Z33523,Zn-4Al-0.015Mg,27.4,
Copper-hardened rolled zinc,Z44330,Zn-1.0Cu,21.1 - 34.7,
ILZRO 16,,Zn-1.25Cu-0.2Ti-0.15Cr,27,
Korloy 2684,,Zn-22Al,22,
Rolled zinc,Z21210,Zn-0.08Pb,32.5,
Rolled zinc,Z21220,Zn-0.06Pb-0.06Cd,32.5,
Rolled zinc,Z21540,Zn-0.3Pb-0.03Cd,39.9,
Rolled zinc alloy,Z45330,Zn-1.0Cu-0.01Mg,21.1 - 34.8,
